"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAGtitle","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"332",2016,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","190","190","7784","PROC IEHR","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"333",2016,"0819D","Overseas Humanitarian, Disaster, and Civic Aid","DSCA","01","Humanitarian Assistance","Defensewide Activities","010","010","4GTD","Overseas Humanitarian, Disaster and Civic Aid","Y","Y","U",2014,"Total",1109500,NA,NA,NA,NA
"334",2016,"0134D","Cooperative Threat Reduction Account","DTRA","01","FSU Threat Reduction","Defensewide Activities","010","010","1PL3","Former Soviet Union (FSU) Threat Reduction","Y","Y","U",2014,"Total",581480,NA,NA,NA,NA
"335",2016,"5751D","Contributions to the Cooperative Threat Red Pgm","DTRA","01","FSU Threat Reduction","Defensewide Activities","010","010","1PL3","Contributions to the CTR Program","Y","Y","U",2014,"Total",18592,NA,NA,NA,NA
"336",2016,"0111D","DoD Acquisition Workforce Development Fund","DAU","01","Acquisition Workforce Development","Acq Workforce Dev Fd","010","010","012","Acq Workforce Dev Fd","Y","Y","U",2014,"Total",51031,NA,NA,NA,NA
"337",2016,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS","01","Drug Interdiction And Counter Drug Activities","Defensewide Activities","010","010","2FU1","Drug Interdiction and Counter-Drug Activities, Defense","Y","Y","U",2014,"Total",376305,NA,NA,NA,NA
"338",2016,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPSDDR","02","Drug Demand Reduction Program","Drug Intrdct & Cntr-Drg Act, Def","020","020","ES01","Drug Demand Reduction Program","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"339",2016,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS","03","National Guard Counter-Drug Program","Drug Intrdct & Cntr-Drg Act, Def","030","030","ES01","National Guard Counter-Drug Program","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"340",2016,"0810A","Environmental Restoration, Army","ARMY","01","Department Of The Army","Defense Environmental Restoration Fund","040","040","493","Environmental Restoration, Army","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"341",2016,"0810N","Environmental Restoration, Navy","NAVY","02","Department Of The Navy","Closed Account Adjustments","050","050","044G","Environmental Restoration, Navy","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"342",2016,"0810F","Environmental Restoration, Air Force","AF","03","Department Of The Air Force","Closed Account Adjustments","060","060","042G","Environmental Restoration, Air Force","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"343",2016,"0810D","Environmental Restoration, Defense","DEFW","04","Defense-Wide","Closed Account Adjustments","070","070","045G","Environmental Restoration, Defense","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"344",2016,"0811D","Environmental Restoration Formerly Used Sites","DEFW","05","Defense-Wide","Closed Account Adjustments","080","080","047G","Environmental Restoration Formerly Used Sites","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"345",2016,"0145D","Counterterrorism Partnerships Fund","DEFW","01","Counterterrorism Partnerships Fund","Counterterrorism Partnerships Fund","090","090","010","Counterterrorism Partnerships Fund","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"346",2016,"0114D","European Reassurance Initiative","DEFW","01","European Reassurance Initiative","European Reassurantce Initiative","100","100","010","European Reassurance Initiative","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"347",2016,"1236N","Payment to Kaho'olawe Island Fund","NAVY","01","Payment to Kaho'olawe Island Fund","Logistics Operations and Technical Support","110","110","0000","Payment To Kaho'Olawe Island Fund","Y","Y","U",2014,"Total",3,NA,NA,NA,NA
"348",2016,"0838D","Support for International Sporting Competitions , Defense","DEFW","01","Operations Support","Closed Account Adjustments","120","120","054","Support of International Sporting Competitions, Defense","Y","Y","U",2014,"Total",1969,NA,NA,NA,NA
"349",2016,"5188D","Disposal of DoD Real Property","AF","10","Concept Obligations","Disposal of DoD Real Property","130","130","110","Disposal of DoD Real Property","N","N","U",2014,"Total",2320,NA,NA,NA,NA
"350",2016,"5188D","Disposal of DoD Real Property","ARMY","10","Concept Obligations","Disposal of DoD Real Property","140","140","110","Disposal of DoD Real Property","N","N","U",2014,"Total",1097,NA,NA,NA,NA
"351",2016,"5188D","Disposal of DoD Real Property","NAVY","10","Concept Obligations","Disposal of DoD Real Property","150","150","110","Disposal of DoD Real Property","N","N","U",2014,"Total",8709,NA,NA,NA,NA
"352",2016,"5189D","Lease of DoD Real Property","AF","10","Concept Obligations","Lease of DoD Real Property","160","160","110","Lease of DoD Real Property","N","N","U",2014,"Total",10878,NA,NA,NA,NA
"353",2016,"5189D","Lease of DoD Real Property","ARMY","10","Concept Obligations","Lease of DoD Real Property","170","170","110","Lease of DoD Real Property","N","N","U",2014,"Total",10985,NA,NA,NA,NA
"354",2016,"5189D","Lease of DoD Real Property","NAVY","10","Concept Obligations","Lease of DoD Real Property","180","180","110","Lease of DoD Real Property","N","N","U",2014,"Total",11151,NA,NA,NA,NA
"355",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Total",NA,NA,NA,NA,NA
"356",2016,"* Defense Health Program - $135.4M for transfer to the Veteran’s Administration included in this total.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Total",NA,NA,NA,NA,NA
"357",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2015,"Base",NA,NA,894208,NA,NA
"358",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2015,"Base",NA,NA,61990,NA,NA
"359",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2015,"Base",NA,NA,447906,NA,NA
"360",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2015,"Base",NA,NA,540571,NA,NA
"361",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2015,"Base",NA,NA,835511,NA,NA
"362",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2015,"Base",NA,NA,1326960,NA,NA
"363",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2015,"Base",NA,NA,3522914,NA,NA
"364",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2015,"Base",NA,NA,409752,NA,NA
"365",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2015,"Base",NA,NA,409987,NA,NA
"366",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2015,"Base",NA,NA,7178156,NA,NA
"367",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2015,"Base",NA,NA,2208141,NA,NA
"368",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Headquarters","Y","Y","U",2015,"Base",NA,NA,403717,NA,NA
"369",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","134","Combatant Commanders Core Operations","Y","Y","U",2015,"Base",NA,NA,179129,NA,NA
"370",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","140","140","135","Additional Activities","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"371",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","150","150","136","Commanders Emergency Response Program","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"372",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","160","160","137","RESET","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"373",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","170","170","138","Combatant Commands Direct Mission Support","Y","Y","U",2015,"Base",NA,NA,431907,NA,NA
"374",2016,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","180","180","211","Strategic Mobility","Y","Y","U",2015,"Base",NA,NA,316355,NA,NA
"375",2016,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","190","190","212","Army Prepositioned Stocks","Y","Y","U",2015,"Base",NA,NA,186048,NA,NA
"376",2016,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","200","200","213","Industrial Preparedness","Y","Y","U",2015,"Base",NA,NA,86267,NA,NA
"377",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","210","210","311","Officer Acquisition","Y","Y","U",2015,"Base",NA,NA,121507,NA,NA
"378",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","220","220","312","Recruit Training","Y","Y","U",2015,"Base",NA,NA,48753,NA,NA
"379",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","230","230","313","One Station Unit Training","Y","Y","U",2015,"Base",NA,NA,40667,NA,NA
"380",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","240","240","314","Senior Reserve Officers Training Corps","Y","Y","U",2015,"Base",NA,NA,446837,NA,NA
"381",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","250","250","321","Specialized Skill Training","Y","Y","U",2015,"Base",NA,NA,890870,NA,NA
"382",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","260","260","322","Flight Training","Y","Y","U",2015,"Base",NA,NA,889864,NA,NA
"383",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","270","270","323","Professional Development Education","Y","Y","U",2015,"Base",NA,NA,190421,NA,NA
"384",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","280","280","324","Training Support","Y","Y","U",2015,"Base",NA,NA,551885,NA,NA
"385",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","290","290","331","Recruiting and Advertising","Y","Y","U",2015,"Base",NA,NA,465468,NA,NA
"386",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","300","300","332","Examining","Y","Y","U",2015,"Base",NA,NA,186578,NA,NA
"387",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","310","310","333","Off-Duty and Voluntary Education","Y","Y","U",2015,"Base",NA,NA,205117,NA,NA
"388",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","320","320","334","Civilian Education and Training","Y","Y","U",2015,"Base",NA,NA,150571,NA,NA
"389",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","330","330","335","Junior Reserve Officer Training Corps","Y","Y","U",2015,"Base",NA,NA,175317,NA,NA
"390",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","350","350","421","Servicewide Transportation","Y","Y","U",2015,"Base",NA,NA,341735,NA,NA
"391",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","360","360","422","Central Supply Activities","Y","Y","U",2015,"Base",NA,NA,692175,NA,NA
"392",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","370","370","423","Logistic Support Activities","Y","Y","U",2015,"Base",NA,NA,584952,NA,NA
"393",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","380","380","424","Ammunition Management","Y","Y","U",2015,"Base",NA,NA,419351,NA,NA
"394",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","390","390","431","Administration","Y","Y","U",2015,"Base",NA,NA,403037,NA,NA
"395",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","400","400","432","Servicewide Communications","Y","Y","U",2015,"Base",NA,NA,1595476,NA,NA
"396",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","410","410","433","Manpower Management","Y","Y","U",2015,"Base",NA,NA,285370,NA,NA
"397",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","420","420","434","Other Personnel Support","Y","Y","U",2015,"Base",NA,NA,388022,NA,NA
"398",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","430","430","435","Other Service Support","Y","Y","U",2015,"Base",NA,NA,1069429,NA,NA
"399",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","440","440","436","Army Claims Activities","Y","Y","U",2015,"Base",NA,NA,239686,NA,NA
"400",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","450","450","437","Real Estate Management","Y","Y","U",2015,"Base",NA,NA,240236,NA,NA
"401",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","460","460","438","Financial Management and Audit Readiness","Y","Y","U",2015,"Base",NA,NA,200414,NA,NA
"402",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","470","470","441","International Military Headquarters","Y","Y","U",2015,"Base",NA,NA,432869,NA,NA
"403",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","480","480","442","Misc. Support of Other Nations","Y","Y","U",2015,"Base",NA,NA,27349,NA,NA
"404",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","490","490","451","Closed Account Adjustments","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"405",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","500","500","471","Foreign Currency Fluctuation","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"406",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","510","510","493","Defense Environmental Restoration Account (DERA)","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"407",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Judgment Fund","520","520","461","Judgment Fund","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"408",2016,"2020A","Operation & Maintenance, Army","","04","Admin & Srvwide Activities","","","","9999","Classified Programs","Y","Y","U",2015,"Base",NA,NA,1029274,NA,NA
"409",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"410",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2015,"Base",NA,NA,14865,NA,NA
"411",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2015,"Base",NA,NA,511657,NA,NA
"412",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2015,"Base",NA,NA,90980,NA,NA
"413",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2015,"Base",NA,NA,541846,NA,NA
"414",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2015,"Base",NA,NA,66697,NA,NA
"415",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2015,"Base",NA,NA,367108,NA,NA
"416",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2015,"Base",NA,NA,74711,NA,NA
"417",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2015,"Base",NA,NA,60676,NA,NA
"418",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2015,"Base",NA,NA,396136,NA,NA
"419",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2015,"Base",NA,NA,250457,NA,NA
"420",2016,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Headquarters","Y","Y","U",2015,"Base",NA,NA,39590,NA,NA
"421",2016,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","130","421","Servicewide Transportation","Y","Y","U",2015,"Base",NA,NA,10608,NA,NA
"422",2016,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","140","431","Administration","Y","Y","U",2015,"Base",NA,NA,17587,NA,NA
"423",2016,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","432","Servicewide Communications","Y","Y","U",2015,"Base",NA,NA,6681,NA,NA
"424",2016,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","433","Manpower Management","Y","Y","U",2015,"Base",NA,NA,9192,NA,NA
"425",2016,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","434","Recruiting and Advertising","Y","Y","U",2015,"Base",NA,NA,54602,NA,NA
"426",2016,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Closed Account Adjustments","180","180","451","Closed Account Adjustments","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"427",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2015,"Base",NA,NA,751170,NA,NA
"428",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2015,"Base",NA,NA,165942,NA,NA
"429",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2015,"Base",NA,NA,733796,NA,NA
"430",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2015,"Base",NA,NA,84045,NA,NA
"431",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2015,"Base",NA,NA,21555,NA,NA
"432",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2015,"Base",NA,NA,916317,NA,NA
"433",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2015,"Base",NA,NA,671749,NA,NA
"434",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2015,"Base",NA,NA,67125,NA,NA
"435",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2015,"Base",NA,NA,186586,NA,NA
"436",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2015,"Base",NA,NA,780693,NA,NA
"437",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2015,"Base",NA,NA,565205,NA,NA
"438",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Headquarters","Y","Y","U",2015,"Base",NA,NA,864591,NA,NA
"439",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","130","421","Servicewide Transportation","Y","Y","U",2015,"Base",NA,NA,6043,NA,NA
"440",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","140","431","Administration","Y","Y","U",2015,"Base",NA,NA,57392,NA,NA
"441",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","432","Servicewide Communications","Y","Y","U",2015,"Base",NA,NA,36017,NA,NA
"442",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","433","Manpower Management","Y","Y","U",2015,"Base",NA,NA,8962,NA,NA
"443",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","434","Other Personnel Support","Y","Y","U",2015,"Base",NA,NA,256998,NA,NA
"444",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","180","180","437","Real Estate Management","Y","Y","U",2015,"Base",NA,NA,1765,NA,NA
"445",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Closed Account Adjustments","190","190","451","Closed Account Adjustments","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"446",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","010","110","Sustainment","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"447",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","020","120","Infrastructure","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"448",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","030","130","Equipment and Transportation","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"449",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","040","040","140","Training and Operations","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"450",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Closed Account Adjustments","050","050","100","Afghanistan Security Forces Fund","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"451",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","060","210","Sustainment","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"452",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","070","070","220","Infrastructure","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"453",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","080","080","230","Equipment and Transportation","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"454",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","090","090","240","Training and Operations","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"455",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Closed Account Adjustments","100","100","200","Ministry Of Interior","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"456",2016,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","110","110","410","Sustainment","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"457",2016,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","120","120","440","Training and Operations","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"458",2016,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Closed Account Adjustments","130","130","400","Iraq Training Facility","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"459",2016,"2096A","Afghanistan Infrastructure Fund","ARMY","01","Afghanistan Infrastructure Fund","Closed Account Adjustments","010","010","110","Power","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"460",2016,"2097A","Iraq Train and Equip Fund","ARMY","01","Iraq Train and Equip Fund","Defense Forces","010","010","140","Iraq Train and Equip Fund","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"461",2016,"2098A","Syria Train and Equip Fund","ARMY","01","Syria Train and Equip Fund","Defense Forces","010","010","140","Syria Train and Equip Fund","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"462",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","010","010","1A1A","Mission and Other Flight Operations","Y","Y","U",2015,"Base",NA,NA,4279889,NA,NA
"463",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","020","020","1A2A","Fleet Air Training","Y","Y","U",2015,"Base",NA,NA,1637067,NA,NA
"464",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","030","030","1A3A","Aviation Technical Data & Engineering Services","Y","Y","U",2015,"Base",NA,NA,36747,NA,NA
"465",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","040","040","1A4A","Air Operations and Safety Support","Y","Y","U",2015,"Base",NA,NA,93939,NA,NA
"466",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","050","050","1A4N","Air Systems Support","Y","Y","U",2015,"Base",NA,NA,353763,NA,NA
"467",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","060","060","1A5A","Aircraft Depot Maintenance","Y","Y","U",2015,"Base",NA,NA,879946,NA,NA
"468",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","070","070","1A6A","Aircraft Depot Operations Support","Y","Y","U",2015,"Base",NA,NA,36380,NA,NA
"469",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","080","080","1A9A","Aviation Logistics","Y","Y","U",2015,"Base",NA,NA,350641,NA,NA
"470",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","090","090","1B1B","Mission and Other Ship Operations","Y","Y","U",2015,"Base",NA,NA,3865149,NA,NA
"471",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","100","100","1B2B","Ship Operations Support & Training","Y","Y","U",2015,"Base",NA,NA,711243,NA,NA
"472",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","110","110","1B4B","Ship Depot Maintenance","Y","Y","U",2015,"Base",NA,NA,4906587,NA,NA
