"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"33",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","33  ","0603005A","Combat Vehicle and Automotive Advanced Technology","33  ","Y","Y","U",2014,"Total",146486,NA,NA,NA,NA
"34",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","34  ","0603006A","Space Application Advanced Technology","34  ","Y","Y","U",2014,"Total",10706,NA,NA,NA,NA
"35",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","35  ","0603007A","Manpower, Personnel and Training Advanced Technology","35  ","Y","Y","U",2014,"Total",6145,NA,NA,NA,NA
"36",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","36  ","0603008A","Electronic Warfare Advanced Technology","36  ","Y","Y","U",2014,"Total",40345,NA,NA,NA,NA
"37",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","37  ","0603009A","TRACTOR HIKE","37  ","Y","Y","U",2014,"Total",9161,NA,NA,NA,NA
"38",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","38  ","0603015A","Next Generation Training & Simulation Systems","38  ","Y","Y","U",2014,"Total",13168,NA,NA,NA,NA
"39",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","39  ","0603020A","TRACTOR ROSE","39  ","Y","Y","U",2014,"Total",10662,NA,NA,NA,NA
"40",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","40  ","0603125A","Combating Terrorism - Technology Development","40  ","Y","Y","U",2014,"Total",14546,NA,NA,NA,NA
"41",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","41  ","0603130A","TRACTOR NAIL","41  ","Y","Y","U",2014,"Total",3192,NA,NA,NA,NA
"42",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","42  ","0603131A","TRACTOR EGGS","42  ","Y","Y","U",2014,"Total",2366,NA,NA,NA,NA
"43",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","43  ","0603270A","Electronic Warfare Technology","43  ","Y","Y","U",2014,"Total",24652,NA,NA,NA,NA
"44",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","44  ","0603313A","Missile and Rocket Advanced Technology","44  ","Y","Y","U",2014,"Total",81951,NA,NA,NA,NA
"45",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","45  ","0603322A","TRACTOR CAGE","45  ","Y","Y","U",2014,"Total",11857,NA,NA,NA,NA
"46",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","46  ","0603461A","High Performance Computing Modernization Program","46  ","Y","Y","U",2014,"Total",213238,NA,NA,NA,NA
"47",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","47  ","0603606A","Landmine Warfare and Barrier Advanced Technology","47  ","Y","Y","U",2014,"Total",22233,NA,NA,NA,NA
"48",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","48  ","0603607A","Joint Service Small Arms Program","48  ","Y","Y","U",2014,"Total",4902,NA,NA,NA,NA
"49",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","49  ","0603710A","Night Vision Advanced Technology","49  ","Y","Y","U",2014,"Total",43459,NA,NA,NA,NA
"50",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","50  ","0603728A","Environmental Quality Technology Demonstrations","50  ","Y","Y","U",2014,"Total",11540,NA,NA,NA,NA
"51",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","51  ","0603734A","Military Engineering Advanced Technology","51  ","Y","Y","U",2014,"Total",23838,NA,NA,NA,NA
"52",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","52  ","0603772A","Advanced Tactical Computer Science and Sensor Technology","52  ","Y","Y","U",2014,"Total",34042,NA,NA,NA,NA
"53",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","53  ","0603794A","C3 Advanced Technology","53  ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"54",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","54  ","0603305A","Army Missle Defense Systems Integration","54  ","Y","Y","U",2014,"Total",23117,NA,NA,NA,NA
"55",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","55  ","0603308A","Army Space Systems Integration","55  ","Y","Y","U",2014,"Total",13448,NA,NA,NA,NA
"56",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","56  ","0603619A","Landmine Warfare and Barrier - Adv Dev","56  ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"57",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","57  ","0603627A","Smoke, Obscurant and Target Defeating Sys-Adv Dev","57  ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"58",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","58  ","0603639A","Tank and Medium Caliber Ammunition","58  ","Y","Y","U",2014,"Total",31580,NA,NA,NA,NA
"59",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","59  ","0603653A","Advanced Tank Armament System (ATAS)","59  ","Y","Y","U",2014,"Total",54259,NA,NA,NA,NA
"60",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","60  ","0603747A","Soldier Support and Survivability","60  ","Y","Y","U",2014,"Total",11513,NA,NA,NA,NA
"61",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","61  ","0603766A","Tactical Electronic Surveillance System - Adv Dev","61  ","Y","Y","U",2014,"Total",10390,NA,NA,NA,NA
"62",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","62  ","0603774A","Night Vision Systems Advanced Development","62  ","Y","Y","U",2014,"Total",8760,NA,NA,NA,NA
"63",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","63  ","0603779A","Environmental Quality Technology - Dem/Val","63  ","Y","Y","U",2014,"Total",2544,NA,NA,NA,NA
"64",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","64  ","0603782A","Warfighter Information Network-Tactical - DEM/VAL","64  ","Y","Y","U",2014,"Total",118256,NA,NA,NA,NA
"65",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","65  ","0603790A","NATO Research and Development","65  ","Y","Y","U",2014,"Total",3743,NA,NA,NA,NA
"66",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","66  ","0603801A","Aviation - Adv Dev","66  ","Y","Y","U",2014,"Total",4848,NA,NA,NA,NA
"67",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","67  ","0603804A","Logistics and Engineer Equipment - Adv Dev","67  ","Y","Y","U",2014,"Total",11623,NA,NA,NA,NA
"68",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","68  ","0603807A","Medical Systems - Adv Dev","68  ","Y","Y","U",2014,"Total",17524,NA,NA,NA,NA
"69",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","69  ","0603827A","Soldier Systems - Advanced Development","69  ","Y","Y","U",2014,"Total",13844,NA,NA,NA,NA
"70",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","70  ","0603850A","Integrated Broadcast Service","70  ","Y","Y","U",2014,"Total",79,NA,NA,NA,NA
"71",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","71  ","0604100A","Analysis Of Alternatives","71  ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"72",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","72  ","0604115A","Technology Maturation Initiatives","72  ","Y","Y","U",2014,"Total",10741,NA,NA,NA,NA
"73",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","73  ","0604120A","Assured Positioning, Navigation and Timing (PNT)","73  ","Y","Y","U",2014,"Total",7500,NA,NA,NA,NA
"74",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","74  ","0604319A","Indirect Fire Protection Capability Increment 2-Intercept (IFPC2)","74  ","Y","Y","U",2014,"Total",76559,NA,NA,NA,NA
"75",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","75  ","0604785A","Integrated Base Defense (Budget Activity 4)","75  ","Y","Y","U",2014,"Total",4324,NA,NA,NA,NA
"76",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","76  ","0604201A","Aircraft Avionics","76  ","Y","Y","U",2014,"Total",64396,NA,NA,NA,NA
"77",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","77  ","0604220A","Armed, Deployable Helos","77  ","Y","Y","U",2014,"Total",26000,NA,NA,NA,NA
"78",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","78  ","0604270A","Electronic Warfare Development","78  ","Y","Y","U",2014,"Total",134260,NA,NA,NA,NA
"79",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","79  ","0604280A","Joint Tactical Radio","79  ","Y","Y","U",2014,"Total",30752,NA,NA,NA,NA
