"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1703",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","137 ","0604943D8Z","Thermal Vicar","137 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1704",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","138 ","0605100D8Z","Joint Mission Environment Test Capability (JMETC)","138 ","Y","Y","U",2015,"Base",NA,NA,27124,NA,NA
"1705",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","139 ","0605104D8Z","Technical Studies, Support and Analysis","139 ","Y","Y","U",2015,"Base",NA,NA,24466,NA,NA
"1706",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","140 ","0605117D8Z","Foreign Materiel Acquisition and Exploitation","140 ","Y","Y","U",2015,"Base",NA,NA,46781,NA,NA
"1707",2016,"0400D","Research, Development, Test & Eval, DW","TJS","06","Management Support","141 ","0605126J","Joint Integrated Air and Missile Defense Organization (JIAMDO)","141 ","Y","Y","U",2015,"Base",NA,NA,43176,NA,NA
"1708",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","142 ","0605128D8Z","Classified Program USD(P)","142 ","Y","Y","U",2015,"Base",NA,NA,1e+05,NA,NA
"1709",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","143 ","0605130D8Z","Foreign Comparative Testing","143 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1710",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","144 ","0605142D8Z","Systems Engineering","144 ","Y","Y","U",2015,"Base",NA,NA,44683,NA,NA
"1711",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","145 ","0605151D8Z","Studies and Analysis Support - OSD","145 ","Y","Y","U",2015,"Base",NA,NA,2660,NA,NA
"1712",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","146 ","0605161D8Z","Nuclear Matters-Physical Security","146 ","Y","Y","U",2015,"Base",NA,NA,4359,NA,NA
"1713",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","147 ","0605170D8Z","Support to Networks and Information Integration","147 ","Y","Y","U",2015,"Base",NA,NA,27861,NA,NA
"1714",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","148 ","0605200D8Z","General Support to USD (Intelligence)","148 ","Y","Y","U",2015,"Base",NA,NA,2850,NA,NA
"1715",2016,"0400D","Research, Development, Test & Eval, DW","CBDP","06","Management Support","149 ","0605384BP","Chemical and Biological Defense Program","149 ","Y","Y","U",2015,"Base",NA,NA,105927,NA,NA
"1716",2016,"0400D","Research, Development, Test & Eval, DW","CBDP","06","Management Support","150 ","0605502BP","Small Business Innovative Research - Chemical Biological Def","150 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1717",2016,"0400D","Research, Development, Test & Eval, DW","DTRA","06","Management Support","151 ","0605502BR","Small Business Innovation Research","151 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1718",2016,"0400D","Research, Development, Test & Eval, DW","MDA","06","Management Support","152 ","0605502C","Small Business Innovation Research - MDA","152 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1719",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","153 ","0605502D8Z","Small Business Innovative Research","153 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1720",2016,"0400D","Research, Development, Test & Eval, DW","DARPA","06","Management Support","154 ","0605502E","Small Business Innovative Research","154 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1721",2016,"0400D","Research, Development, Test & Eval, DW","TJS","06","Management Support","155 ","0605502J","Small Business Innovative Research","155 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1722",2016,"0400D","Research, Development, Test & Eval, DW","DTIC","06","Management Support","156 ","0605502KA","Small Business Innovative Research","156 ","Y","Y","U",2015,"Base",NA,NA,400,NA,NA
"1723",2016,"0400D","Research, Development, Test & Eval, DW","DLA","06","Management Support","157 ","0605502S","Small Business Innovative Research","157 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1724",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","158 ","0605790D8Z","Small Business Innovation Research (SBIR)/ Small Business Technology Transfer","158 ","Y","Y","U",2015,"Base",NA,NA,1631,NA,NA
"1725",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","159 ","0605798D8Z","Defense Technology Analysis","159 ","Y","Y","U",2015,"Base",NA,NA,22074,NA,NA
"1726",2016,"0400D","Research, Development, Test & Eval, DW","DTIC","06","Management Support","160 ","0605801KA","Defense Technical Information Center (DTIC)","160 ","Y","Y","U",2015,"Base",NA,NA,50389,NA,NA
"1727",2016,"0400D","Research, Development, Test & Eval, DW","DHRA","06","Management Support","161 ","0605803SE","R&D in Support of DoD Enlistment, Testing and Evaluation","161 ","Y","Y","U",2015,"Base",NA,NA,8452,NA,NA
"1728",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","162 ","0605804D8Z","Development Test and Evaluation","162 ","Y","Y","U",2015,"Base",NA,NA,19160,NA,NA
"1729",2016,"0400D","Research, Development, Test & Eval, DW","DARPA","06","Management Support","163 ","0605898E","Management HQ - R&D","163 ","Y","Y","U",2015,"Base",NA,NA,71362,NA,NA
"1730",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","164 ","0606100D8Z","Budget and Program Assessments","164 ","Y","Y","U",2015,"Base",NA,NA,4093,NA,NA
"1731",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","165 ","0203345D8Z","Defense Operations Security Initiative (DOSI)","165 ","Y","Y","U",2015,"Base",NA,NA,1952,NA,NA
"1732",2016,"0400D","Research, Development, Test & Eval, DW","TJS","06","Management Support","166 ","0204571J","Joint Staff Analytical Support","166 ","Y","Y","U",2015,"Base",NA,NA,10321,NA,NA
"1733",2016,"0400D","Research, Development, Test & Eval, DW","TJS","06","Management Support","169 ","0303166J","Support to Information Operations (IO) Capabilities","169 ","Y","Y","U",2015,"Base",NA,NA,11552,NA,NA
"1734",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","170 ","0303260D8Z","Defense Military Deception Program Office (DMDPO)","170 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1735",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","171 ","0305193D8Z","Cyber Intelligence","171 ","Y","Y","U",2015,"Base",NA,NA,6738,NA,NA
"1736",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","173 ","0804767D8Z","COCOM Exercise Engagement and Training Transformation (CE2T2) - MHA","173 ","Y","Y","U",2015,"Base",NA,NA,38950,NA,NA
"1737",2016,"0400D","Research, Development, Test & Eval, DW","MDA","06","Management Support","174 ","0901598C","Management HQ - MDA","174 ","Y","Y","U",2015,"Base",NA,NA,35598,NA,NA
"1738",2016,"0400D","Research, Development, Test & Eval, DW","WHS","06","Management Support","175 ","0901598D8W","Management Headquarters WHS","175 ","Y","Y","U",2015,"Base",NA,NA,612,NA,NA
"1739",2016,"0400D","Research, Development, Test & Eval, DW","WHS","06","Management Support","176 ","0903230D8W","WHS - Mission Operations Support - IT","176 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1740",2016,"0400D","Research, Development, Test & Eval, DW","OSD","06","Management Support","177 ","0909999D8Z","Financing for Cancelled Account Adjustments","177 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1741",2016,"0400D","Research, Development, Test & Eval, DW","","06","Management Support","","9999999999","Classified Programs","","Y","Y","U",2015,"Base",NA,NA,44346,NA,NA
"1742",2016,"0400D","Research, Development, Test & Eval, DW","DSS","07","Operational System Development","178 ","0604130V","Enterprise Security System (ESS)","178 ","Y","Y","U",2015,"Base",NA,NA,3988,NA,NA
"1743",2016,"0400D","Research, Development, Test & Eval, DW","DSCA","07","Operational System Development","179 ","0605127T","Regional International Outreach (RIO) and Partnership for Peace Information Mana","179 ","Y","Y","U",2015,"Base",NA,NA,1750,NA,NA
"1744",2016,"0400D","Research, Development, Test & Eval, DW","DSCA","07","Operational System Development","180 ","0605147T","Overseas Humanitarian Assistance Shared Information System (OHASIS)","180 ","Y","Y","U",2015,"Base",NA,NA,286,NA,NA
"1745",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","181 ","0607210D8Z","Industrial Base Analysis and Sustainment Support","181 ","Y","Y","U",2015,"Base",NA,NA,14756,NA,NA
"1746",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","182 ","0607310D8Z","CWMD Systems: Operational Systems Development","182 ","Y","Y","U",2015,"Base",NA,NA,2948,NA,NA
"1747",2016,"0400D","Research, Development, Test & Eval, DW","DSCA","07","Operational System Development","183 ","0607327T","Global Theater Security Cooperation Management Information Systems (G-TSCMIS)","183 ","Y","Y","U",2015,"Base",NA,NA,10350,NA,NA
"1748",2016,"0400D","Research, Development, Test & Eval, DW","CBDP","07","Operational System Development","184 ","0607384BP","Chemical and Biological Defense (Operational Systems Development)","184 ","Y","Y","U",2015,"Base",NA,NA,28496,NA,NA
"1749",2016,"0400D","Research, Development, Test & Eval, DW","TJS","07","Operational System Development","185 ","0607828J","Joint Integration and Interoperability","185 ","Y","Y","U",2015,"Base",NA,NA,11968,NA,NA
"1750",2016,"0400D","Research, Development, Test & Eval, DW","TJS","07","Operational System Development","186 ","0208043J","Planning and Decision Aid System (PDAS)","186 ","Y","Y","U",2015,"Base",NA,NA,1842,NA,NA
"1751",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","187 ","0208045K","C4I Interoperability","187 ","Y","Y","U",2015,"Base",NA,NA,63558,NA,NA
"1752",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","189 ","0301144K","Joint/Allied Coalition Information Sharing","189 ","Y","Y","U",2015,"Base",NA,NA,3931,NA,NA
"1753",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","193 ","0302016K","National Military Command System-Wide Support","193 ","Y","Y","U",2015,"Base",NA,NA,924,NA,NA
"1754",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","194 ","0302019K","Defense Info Infrastructure Engineering and Integration","194 ","Y","Y","U",2015,"Base",NA,NA,9612,NA,NA
"1755",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","195 ","0303126K","Long-Haul Communications - DCS","195 ","Y","Y","U",2015,"Base",NA,NA,25325,NA,NA
"1756",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","196 ","0303131K","Minimum Essential Emergency Communications Network (MEECN)","196 ","Y","Y","U",2015,"Base",NA,NA,12671,NA,NA
"1757",2016,"0400D","Research, Development, Test & Eval, DW","NSA","07","Operational System Development","197 ","0303135G","Public Key Infrastructure (PKI)","197 ","Y","Y","U",2015,"Base",NA,NA,222,NA,NA
"1758",2016,"0400D","Research, Development, Test & Eval, DW","NSA","07","Operational System Development","198 ","0303136G","Key Management Infrastructure (KMI)","198 ","Y","Y","U",2015,"Base",NA,NA,32698,NA,NA
"1759",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","199 ","0303140D8Z","Information Systems Security Program","199 ","Y","Y","U",2015,"Base",NA,NA,11288,NA,NA
"1760",2016,"0400D","Research, Development, Test & Eval, DW","NSA","07","Operational System Development","200 ","0303140G","Information Systems Security Program","200 ","Y","Y","U",2015,"Base",NA,NA,138854,NA,NA
"1761",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","201 ","0303150K","Global Command and Control System","201 ","Y","Y","U",2015,"Base",NA,NA,33793,NA,NA
"1762",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","202 ","0303153K","Defense Spectrum Organization","202 ","Y","Y","U",2015,"Base",NA,NA,13393,NA,NA
"1763",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","203 ","0303170K","Net-Centric Enterprise Services (NCES)","203 ","Y","Y","U",2015,"Base",NA,NA,3774,NA,NA
"1764",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","204 ","0303260D8Z","Defense Military Deception Program Office (DMDPO)","204 ","Y","Y","U",2015,"Base",NA,NA,949,NA,NA
"1765",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","205 ","0303610K","Teleport Program","205 ","Y","Y","U",2015,"Base",NA,NA,2697,NA,NA
"1766",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","206 ","0304210BB","Special Applications for Contingencies","206 ","Y","Y","U",2015,"Base",NA,NA,15794,NA,NA
"1767",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","210 ","0305103K","Cyber Security Initiative","210 ","Y","Y","U",2015,"Base",NA,NA,3234,NA,NA
"1768",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","211 ","0305125D8Z","Critical Infrastructure Protection (CIP)","211 ","Y","Y","U",2015,"Base",NA,NA,8834,NA,NA
"1769",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","215 ","0305186D8Z","Policy R&D Programs","215 ","Y","Y","U",2015,"Base",NA,NA,7055,NA,NA
"1770",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","216 ","0305199D8Z","Net Centricity","216 ","Y","Y","U",2015,"Base",NA,NA,23950,NA,NA
"1771",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","218 ","0305208BB","Distributed Common Ground/Surface Systems","218 ","Y","Y","U",2015,"Base",NA,NA,5286,NA,NA
"1772",2016,"0400D","Research, Development, Test & Eval, DW","DISA","07","Operational System Development","221 ","0305208K","Distributed Common Ground/Surface Systems","221 ","Y","Y","U",2015,"Base",NA,NA,3400,NA,NA
"1773",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","223 ","0305219BB","MQ-1 Predator A UAV","223 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1774",2016,"0400D","Research, Development, Test & Eval, DW","DSS","07","Operational System Development","225 ","0305327V","Insider Threat","225 ","Y","Y","U",2015,"Base",NA,NA,8670,NA,NA
"1775",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","226 ","0305387D8Z","Homeland Defense Technology Transfer Program","226 ","Y","Y","U",2015,"Base",NA,NA,2106,NA,NA
"1776",2016,"0400D","Research, Development, Test & Eval, DW","OSD","07","Operational System Development","227 ","0305600D8Z","International Intelligence Technology and Architectures","227 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1777",2016,"0400D","Research, Development, Test & Eval, DW","NSA","07","Operational System Development","232 ","0305889G","Counterdrug Intelligence Support","232 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1778",2016,"0400D","Research, Development, Test & Eval, DW","DLA","07","Operational System Development","234 ","0708011S","Industrial Preparedness","234 ","Y","Y","U",2015,"Base",NA,NA,22366,NA,NA
"1779",2016,"0400D","Research, Development, Test & Eval, DW","DLA","07","Operational System Development","235 ","0708012S","Logistics Support Activities","235 ","Y","Y","U",2015,"Base",NA,NA,1574,NA,NA
"1780",2016,"0400D","Research, Development, Test & Eval, DW","TJS","07","Operational System Development","236 ","0902298J","Management HQ - OJCS","236 ","Y","Y","U",2015,"Base",NA,NA,4409,NA,NA
"1781",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","237 ","1105219BB","MQ-9 UAV","237 ","Y","Y","U",2015,"Base",NA,NA,9702,NA,NA
"1782",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","238 ","1105232BB","RQ-11 UAV","238 ","Y","Y","U",2015,"Base",NA,NA,259,NA,NA
"1783",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","239 ","1160279BB","Small Business Innovative Research/Small Bus Tech Transfer Pilot Prog","239 ","Y","Y","U",2015,"Base",NA,NA,0,NA,NA
"1784",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","240 ","1160403BB","Aviation Systems","240 ","Y","Y","U",2015,"Base",NA,NA,158733,NA,NA
"1785",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","241 ","1160405BB","Intelligence Systems Development","241 ","Y","Y","U",2015,"Base",NA,NA,9490,NA,NA
"1786",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","242 ","1160408BB","Operational Enhancements","242 ","Y","Y","U",2015,"Base",NA,NA,75253,NA,NA
"1787",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","243 ","1160431BB","Warrior Systems","243 ","Y","Y","U",2015,"Base",NA,NA,20573,NA,NA
"1788",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","244 ","1160432BB","Special Programs","244 ","Y","Y","U",2015,"Base",NA,NA,20908,NA,NA
"1789",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","245 ","1160480BB","SOF Tactical Vehicles","245 ","Y","Y","U",2015,"Base",NA,NA,3672,NA,NA
"1790",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","246 ","1160483BB","Maritime Systems","246 ","Y","Y","U",2015,"Base",NA,NA,56746,NA,NA
"1791",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","247 ","1160489BB","Global Video Surveillance Activities","247 ","Y","Y","U",2015,"Base",NA,NA,3788,NA,NA
"1792",2016,"0400D","Research, Development, Test & Eval, DW","SOCOM","07","Operational System Development","248 ","1160490BB","Operational Enhancements Intelligence","248 ","Y","Y","U",2015,"Base",NA,NA,15225,NA,NA
"1793",2016,"0400D","Research, Development, Test & Eval, DW","","07","Operational System Development","","9999999999","Classified Programs","","Y","Y","U",2015,"Base",NA,NA,3148959,NA,NA
"1794",2016,"0460D","Operational Test & Eval, Defense","OTE","06","Management Support","1   ","0605118OTE","Operational Test and Evaluation","1   ","Y","Y","U",2015,"Base",NA,NA,93223,NA,NA
"1795",2016,"0460D","Operational Test & Eval, Defense","OTE","06","Management Support","2   ","0605131OTE","Live Fire Test and Evaluation","2   ","Y","Y","U",2015,"Base",NA,NA,45142,NA,NA
"1796",2016,"0460D","Operational Test & Eval, Defense","OTE","06","Management Support","3   ","0605814OTE","Operational Test Activities and Analyses","3   ","Y","Y","U",2015,"Base",NA,NA,70346,NA,NA
"1797",2016,"0107D","Office of the Inspector General","IG","02","RDT&E","1   ","0901517X","Inspector General, DoD, Audit, Intelligence and Non-Criminal Investigative Activ","1   ","N","N","U",2015,"Base",NA,NA,1400,NA,NA
"1798",2016,"0130D","Defense Health Program","DHA","02","RDT&E","1   ","0601101HP","In-House Laboratory Independent Research","1   ","N","N","U",2015,"Base",NA,NA,3151,NA,NA
"1799",2016,"0130D","Defense Health Program","DHA","02","RDT&E","2   ","0601117HP","Basic Operational Medical Research Science","2   ","N","N","U",2015,"Base",NA,NA,9059,NA,NA
"1800",2016,"0130D","Defense Health Program","DHA","02","RDT&E","3   ","0602115HP","Applied Biomedical Technology","3   ","N","N","U",2015,"Base",NA,NA,73201,NA,NA
"1801",2016,"0130D","Defense Health Program","DHA","02","RDT&E","4   ","0602787HP","Medical Technology","4   ","N","N","U",2015,"Base",NA,NA,1241,NA,NA
"1802",2016,"0130D","Defense Health Program","DHA","02","RDT&E","5   ","0603002HP","Medical Advanced Technology","5   ","N","N","U",2015,"Base",NA,NA,310,NA,NA
"1803",2016,"0130D","Defense Health Program","DHA","02","RDT&E","6   ","0603115HP","Medical Technology Development","6   ","N","N","U",2015,"Base",NA,NA,1201188,NA,NA
"1804",2016,"0130D","Defense Health Program","DHA","02","RDT&E","7   ","0604110HP","Medical Products Support and Advanced Concept Development","7   ","N","N","U",2015,"Base",NA,NA,150822,NA,NA
"1805",2016,"0130D","Defense Health Program","DHA","02","RDT&E","8   ","0605013HP","Information Technology Development","8   ","N","N","U",2015,"Base",NA,NA,21696,NA,NA
"1806",2016,"0130D","Defense Health Program","DHA","02","RDT&E","9   ","0605023HP","Information Technology Development - Integrated Electronic Health Record","9   ","N","N","U",2015,"Base",NA,NA,68267,NA,NA
"1807",2016,"0130D","Defense Health Program","DHA","02","RDT&E","10  ","0605025HP","Information Technology Development ? Theater Medical Information Program-Joint","10  ","N","N","U",2015,"Base",NA,NA,22042,NA,NA
"1808",2016,"0130D","Defense Health Program","DHA","02","RDT&E","11  ","0605026HP","Information Technology Development- DoD Healthcare Management System Modernizati","11  ","N","N","U",2015,"Base",NA,NA,91394,NA,NA
"1809",2016,"0130D","Defense Health Program","DHA","02","RDT&E","12  ","0605039DHA","DoD Medical Information Exchange and Interoperability","12  ","N","N","U",2015,"Base",NA,NA,0,NA,NA
"1810",2016,"0130D","Defense Health Program","DHA","02","RDT&E","13  ","0605145HP","Medical Products and Support Systems Development","13  ","N","N","U",2015,"Base",NA,NA,26648,NA,NA
"1811",2016,"0130D","Defense Health Program","DHA","02","RDT&E","14  ","0605502HP","Small Business Innovative Research","14  ","N","N","U",2015,"Base",NA,NA,0,NA,NA
"1812",2016,"0130D","Defense Health Program","DHA","02","RDT&E","15  ","0606105HP","Medical Program-Wide Activities","15  ","N","N","U",2015,"Base",NA,NA,44043,NA,NA
"1813",2016,"0130D","Defense Health Program","DHA","02","RDT&E","16  ","0607100HP","Medical Products and Capabilities Enhancement Activities","16  ","N","N","U",2015,"Base",NA,NA,17474,NA,NA
"1814",2016,"0390D","Chem Agents & Munitions Destruction","ARMY","02","Research, Development, Test, And Evaluation","1   ","0708081D","Chemical Materials Agency","1   ","N","N","U",2015,"Base",NA,NA,20105,NA,NA
"1815",2016,"0390D","Chem Agents & Munitions Destruction","ARMY","02","Research, Development, Test, And Evaluation","2   ","0708083D","Assembled Chemical Weapons Alternatives","2   ","N","N","U",2015,"Base",NA,NA,575808,NA,NA
"1816",2016,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","1   ","0408042N","National Defense Sealift Fund","1   ","N","N","U",2015,"Base",NA,NA,24417,NA,NA
"1817",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"Base",NA,NA,NA,NA,NA
"1818",2016,"*  $95M for Ebola Response and Preparedness included in this total.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"Base",NA,NA,NA,NA,NA
"1819",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","01","Basic Research","1   ","0601101A","In-House Laboratory Independent Research","1   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1820",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","01","Basic Research","2   ","0601102A","Defense Research Sciences","2   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1821",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","01","Basic Research","3   ","0601103A","University Research Initiatives","3   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1822",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","01","Basic Research","4   ","0601104A","University and Industry Research Centers","4   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1823",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","5   ","0602105A","Materials Technology","5   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1824",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","6   ","0602120A","Sensors and Electronic Survivability","6   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1825",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","7   ","0602122A","TRACTOR HIP","7   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1826",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","8   ","0602211A","Aviation Technology","8   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1827",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","9   ","0602270A","Electronic Warfare Technology","9   ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1828",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","10  ","0602303A","Missile Technology","10  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1829",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","11  ","0602307A","Advanced Weapons Technology","11  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1830",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","12  ","0602308A","Advanced Concepts and Simulation","12  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1831",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","13  ","0602601A","Combat Vehicle and Automotive Technology","13  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1832",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","14  ","0602618A","Ballistics Technology","14  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1833",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","15  ","0602622A","Chemical, Smoke and Equipment Defeating Technology","15  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1834",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","16  ","0602623A","Joint Service Small Arms Program","16  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1835",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","17  ","0602624A","Weapons and Munitions Technology","17  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1836",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","18  ","0602705A","Electronics and Electronic Devices","18  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1837",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","19  ","0602709A","Night Vision Technology","19  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1838",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","20  ","0602712A","Countermine Systems","20  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1839",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","21  ","0602716A","Human Factors Engineering Technology","21  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1840",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","22  ","0602720A","Environmental Quality Technology","22  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1841",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","23  ","0602782A","Command, Control, Communications Technology","23  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1842",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","24  ","0602783A","Computer and Software Technology","24  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1843",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","25  ","0602784A","Military Engineering Technology","25  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
"1844",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","26  ","0602785A","Manpower/Personnel/Training Technology","26  ","Y","Y","U",2015,"OCO",NA,NA,0,NA,NA
