"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","IncludeInTOA","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal"
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",105,"0604823A","Firefinder","Y","U",2015,"Total",,,,,,22587
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",106,"0604827A","Soldier Systems - Warrior Dem/Val","Y","U",2015,"Total",,,,,,5942
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",107,"0604854A","Artillery Systems - EMD","Y","U",2015,"Total",,,,,,1838
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",108,"0605013A","Information Technology Development","Y","U",2015,"Total",,,,,,64982
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",109,"0605018A","Integrated Personnel and Pay System-Army (IPPS-A)","Y","U",2015,"Total",,,,,,62831
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",110,"0605028A","Armored Multi-Purpose Vehicle (AMPV)","Y","U",2015,"Total",,,,,,88797
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",111,"0605029A","Integrated Ground Security Surveillance Response Capability (IGSSR-C)","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",112,"0605030A","Joint Tactical Network Center (JTNC)","Y","U",2015,"Total",,,,,,8615
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",113,"0605031A","Joint Tactical Network (JTN)","Y","U",2015,"Total",,,,,,17305
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",114,"0605032A","TRACTOR TIRE","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",115,"0605033A","Ground-Based Operational Surveillance System - Expeditionary (GBOSS-E)","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",116,"0605034A","Tactical Security System (TSS)","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",117,"0605035A","Common Infrared Countermeasures (CIRCM)","Y","U",2015,"Total",,,,,,169196
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",118,"0605036A","Combating Weapons of Mass Destruction (CWMD)","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",119,"0605041A","Defensive CYBER Tool Development","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",120,"0605042A","Tactical Network Radio Systems (Low-Tier)","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",121,"0605047A","Contract Writing System","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",122,"0605051A","Aircraft Survivability Development","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",123,"0605052A","Indirect Fire Protection Capability Inc 2 - Block 1","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",124,"0605350A","WIN-T Increment 3 - Full Networking","Y","U",2015,"Total",,,,,,108851
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",125,"0605380A","AMF Joint Tactical Radio System (JTRS)","Y","U",2015,"Total",,,,,,6616
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",126,"0605450A","Joint Air-to-Ground Missile (JAGM)","Y","U",2015,"Total",,,,,,80585
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",127,"0605456A","PAC-3/MSE Missile","Y","U",2015,"Total",,,,,,33709
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",128,"0605457A","Army Integrated Air and Missile Defense (AIAMD)","Y","U",2015,"Total",,,,,,147250
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",129,"0605625A","Manned Ground Vehicle","Y","U",2015,"Total",,,,,,47265
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",130,"0605626A","Aerial Common Sensor","Y","U",2015,"Total",,,,,,20328
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",131,"0605766A","National Capabilities Integration (MIP)","Y","U",2015,"Total",,,,,,18254
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",132,"0605812A","Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Ph","Y","U",2015,"Total",,,,,,43302
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",133,"0605830A","Aviation Ground Support Equipment","Y","U",2015,"Total",,,,,,9655
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",134,"0210609A","Paladin Integrated Management (PIM)","Y","U",2015,"Total",,,,,,77210
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",135,"0303032A","TROJAN - RH12","Y","U",2015,"Total",,,,,,983
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",136,"0304270A","Electronic Warfare Development","Y","U",2015,"Total",,,,,,8961
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",137,"0604256A","Threat Simulator Development","Y","U",2015,"Total",,,,,,21691
