"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
4050,"0207131F","A-10 Squadrons",5,,3600,,1999,,,0,,,,,
4051,"0207131F","A-10 Squadrons",7,"Operational Systems Development",3600,,1999,,,2170,,,,,
4052,"0604261N","Acoustic Search Sensors",5,"System Development & Demonstration",1319,,1999,,,27905,,,,,
4053,"0702806F","Acquisition and Management Support",7,,3600,,1999,,,0,,,,,
4054,"0702806F","Acquisition and Management Support",6,"Management Support",3600,,1999,,,0,,,,,
4055,"0605019D8Z","Acquisition Domain",5,,400,,1999,,,0,,,,,
4056,"0602905F","Adaptive Versatile Engine Technology (ADVENT)",2,"Applied Research",3605,,1999,,,0,,,,,
4057,"0203726A","Adv Field Artillery Tactical Data System",7,"Operational Systems Development",2040,,1999,,,34569,,,,,
4058,"0604501N","Advanced Above Water Sensors",5,"System Development & Demonstration",1319,,1999,,,0,,,,,
4059,"0603203F","Advanced Aerospace Sensors",3,"Advanced Technology Development",3600,,1999,,,26260,,,,,
4060,"0603285E","Advanced Aerospace Systems",3,,400,,1999,,,0,,,,,
4061,"0603286E","Advanced Aerospace Systems",3,"Advanced Technology Development",400,,1999,,,0,,,,,
4062,"0603382N","Advanced Combat Systems Technology",4,"Advanced Component Development & Prototypes",1319,,1999,,,6438,,,,,
4063,"0207423F","Advanced Communications Systems",3,,3600,,1999,,,0,,,,,
4064,"0207423F","Advanced Communications Systems",4,,3600,,1999,,,0,,,,,
4065,"0207423F","Advanced Communications Systems",7,"Operational Systems Development",3600,,1999,,,5527,,,,,
4066,"0603750D8Z","Advanced Concept Technology Demonstrations",3,"Advanced Technology Development (ATD)",400,,1999,,,80281,,,,,
4067,"0603879C","Advanced Concepts, Evaluations And Systems",4,,400,,1999,,,0,,,,,
4068,"0101120F","Advanced Cruise Missile",7,,3600,,1999,,,0,,,,,
4069,"0603660N","Advanced Development Projects",7,,1319,,1999,,,231946,,,,,
4070,"0604756N","Ship Self Defense (Engage: Hard Kill)",5,"System Development & Demonstration",1319,,1999,,,0,,,,,
4071,"0603430F","Advanced EHF MILSATCOM (SPACE)",4,"Advanced Component Development & Prototypes",3600,,1999,,,54623,,,,,
4072,"0603270N","Advanced Electronic Warfare Technology",3,,1319,,1999,,,20818,,,,,
4073,"0603739E","Advanced Electronics Technologies",3,"Advanced Technology Development",400,,1999,,,260296,,,,,
4074,"0304348F","Advanced Geospatial Intelligence (AGI)",7,,3600,"Classified (Named)",1999,,,0,,,,,
4075,"0634210N","Advanced High Energy HVAC System",4,"Advanced Component Development & Prototypes",1320,,1999,,,0,,,,,
4076,"0604764K","Advanced IT Services Joint Program Office (AITS-JPO)",5,"System Development And Demonstration",400,,1999,,,15109,,,,,
4077,"0603112F","Advanced Materials for Weapon Systems",3,"Advanced Technology Development",3600,,1999,,,31726,,,,,
4078,"0207163F","Advanced Medium Range Air-to-Air Missile (AMRAAM)",7,"Operational Systems Development",3600,,1999,,,33466,,,,,
4079,"0207163N","Advanced Medium Range Air-to-Air Missile (AMRAAM)",7,"Operational Systems Development",1319,,1999,,,4522,,,,,
4080,"0603570N","Advanced Nuclear Power Systems",4,"Advanced Component Development & Prototypes",1319,,1999,,,118909,,,,,
4081,"0633001A","Advanced Power Electronics Ground Systems Testbed Equipment",3,"Advanced Technology Development",2041,,1999,,,0,,,,,
4082,"0207591F","Advanced Program Evaluation",7,,3600,"Classified (Named)",1999,,,201543,,,,,
4083,"0207433F","Advanced Program Technology",7,,3600,"Classified (Named)",1999,,,79001,,,,,
4084,"0603714D8Z","Advanced Sensors Application Program",4,"Advanced Component Development And Prototypes",400,,1999,,,17731,,,,,
4085,"0603253F","Advanced Sensor Integration",3,,3600,,1999,,,13512,,,,,
4086,"0603526N","Advanced Software and Computing Technology",4,,1319,,1999,,,0,,,,,
4087,"0603401F","Advanced Spacecraft Technology",3,"Advanced Technology Development",3600,,1999,,,57655,,,,,
4088,"0101815F","Advanced Strategic Programs",7,,3600,"Classified (Named)",1999,,,0,,,,,
4089,"0603504N","Advanced Submarine Combat Systems Development",4,,1319,,1999,,,4507,,,,,
4090,"0603561N","Advanced Submarine System Development",4,"Advanced Component Development & Prototypes",1319,,1999,,,116265,,,,,
4091,"0603573N","Advanced Surface Machinery Systems",4,"Advanced Component Development & Prototypes",1319,,1999,,,29478,,,,,
4092,"0603772A","Advanced Tactical Computer Science and Sensor Technology",3,"Advanced Technology Development",2040,,1999,,,18406,,,,,
4093,"0603653A","Advanced Tank Armament System (ATAS)",4,"Advanced Component Development & Prototypes",2040,,1999,,,8464,,,,,
4094,"0603792N","Advanced Technology Transition",3,,1319,,1999,,,72321,,,,,
4095,"0603605F","Advanced Weapons Technology",3,"Advanced Technology Development",3600,,1999,,,51477,,,,,
4096,"0602307A","Advanced Weapons Technology",2,"Applied Research",2040,,1999,,,0,,,,,
4097,"0603845F","Transformational SATCOM (TSAT)",4,"Advanced Component Development & Prototypes",3600,,1999,,,0,,,,,
4098,"0603892C","AEGIS BMD",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4099,"0307207G","Aerial Common Sensor (ACS)",7,,400,,1999,,,0,,,,,
4100,"0307207A","Aerial Common Sensor (ACS)",7,"Operational Systems Development",2040,,1999,,,0,,,,,
4101,"0307207N","Aerial Common Sensor (ACS)",7,"Operational Systems Development",1319,,1999,,,0,,,,,
4102,"0305116F","Aerial Targets",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4103,"0401133F","Aeromedical Evacuation",7,,3600,,1999,,,0,,,,,
4104,"0604703F","Aeromedical/Chemical Defense Systems",5,,3600,,1999,,,3338,,,,,
4105,"0602201F","Aerospace Vehicle Technologies",2,"Applied Research",3600,,1999,,,60746,,,,,
4106,"0603726F","Aerospace Info Tech Sys Integration",3,,3600,,1999,,,10272,,,,,
4107,"0207410F","Air & Space Operations Center (AOC)",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4108,"0602203F","Aerospace Propulsion",2,"Applied Research",3600,,1999,,,66259,,,,,
4109,"0603216F","Aerospace Propulsion and Power Technology",3,"Advanced Technology Development",3600,,1999,,,33579,,,,,
4110,"0603202F","Aerospace Propulsion Subsystems Integration",3,,3600,,1999,,,25150,,,,,
4111,"0602204F","Aerospace Sensors",2,"Applied Research",3600,,1999,,,61336,,,,,
4112,"0603211F","Aerospace Technology Dev/Demo",3,"Advanced Technology Development",3600,,1999,,,11640,,,,,
4113,"0102419A","Aerostat Joint Project - EMD",7,"Operational Systems Development",2040,,1999,,,12638,,,,,
4114,"0207247F","AF TENCAP",7,"Operational Systems Development",3600,,1999,,,6003,,,,,
4115,"0605123D8Z","AFCC Engineering and Installation",6,,400,,1999,,,0,,,,,
4116,"0602903F","Aft-Body Drag Reduction",2,"Applied Research",3605,,1999,,,0,,,,,
4117,"0604617F","Agile Combat Support",5,"System Development & Demonstration",3600,,1999,,,2332,,,,,
4118,"0603728D8Z","Agile Port Demonstration",3,,400,,1999,,,0,,,,,
4119,"0603327A","Air and Missile Defense Systems Engineering",4,"Advanced Component Development & Prototypes",2040,,1999,,,0,,,,,
4120,"0207027F","Air and Space Command and Control Agency (ASC2A)",7,,3600,,1999,,,0,,,,,
4121,"0602111N","Air and Surface Launched Weapons Technology",2,,1319,,1999,,,37630,,,,,
4122,"0401214F","Air Cargo Material Handling (463-L) (Non-IF)",7,,3600,,1999,,,456,,,,,
4123,"0604504N","Air Control",5,"System Development & Demonstration",1319,,1999,,,7141,,,,,
4124,"0604264N","Air Crew Systems Development",5,"System Development & Demonstration",1319,,1999,,,15213,,,,,
4125,"0604741A","Air Defense Command, Control and Intelligence - Eng Dev",5,"System Development & Demonstration",2040,,1999,,,13033,,,,,
4126,"0303112F","Air Force Communications (AIRCOM)",7,,3600,,1999,,,0,,,,,
4127,"0305148F","Air Force Tactical Measurement and Signature Intelligence (MASINT) Systems/Pro",7,,3600,,1999,,,0,,,,,
4128,"0603856F","Air Force/National Program Cooperation (AFNPC)",4,,3600,,1999,,,16927,,,,,
4129,"0401839F","Air Mobility Tactical Data Link",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4130,"0603217N","Air Systems and Weapons Advanced Technology",3,,1319,,1999,,,49234,,,,,
4131,"0604633A","Air Traffic Control",5,"System Development & Demonstration",2040,,1999,,,1550,,,,,
4132,"0305114F","Air Traffic Control, Approach, and Landing System (ATCALS)",7,"Operational Systems Development",3600,,1999,,,2870,,,,,
4133,"0604218N","Air/Ocean Equipment Engineering",5,"System Development & Demonstration",1319,,1999,,,5755,,,,,
4134,"0603207N","Air/Ocean Tactical Applications",4,"Advanced Component Development & Prototypes",1319,,1999,,,26702,,,,,
4135,"0604429F","Airborne Electronic Attack",5,"System Development & Demonstration",3600,,1999,,,0,,,,,
4136,"0603319F","Airborne Laser Program",4,,3600,,1999,,,252449,,,,,
4137,"0604373N","Airborne MCM",5,"System Development & Demonstration",1319,,1999,,,31677,,,,,
4138,"0305206A","Airborne Reconnaissance Systems",7,"Operational Systems Development",2040,,1999,,,7224,,,,,
4139,"0305206F","Airborne Reconnaissance Systems",7,"Operational Systems Development",3600,,1999,,,123538,,,,,
4140,"0305206G","Airborne Reconnaissance Systems",7,,400,,1999,,,15000,,,,,
4141,"0305206N","Airborne Reconnaissance Systems",7,"Operational Systems Development",1319,,1999,,,16337,,,,,
4142,"0401845F","Airborne Senior Leader C3 (SLC3S)",5,"System Development & Demonstration",3600,,1999,,,0,,,,,
4143,"0304260F","Airborne SIGINT Enterprise",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4144,"0207417F","Airborne Warning and Control System (AWACS)",7,"Operational Systems Development",3600,,1999,,,31669,,,,,
4145,"0604201A","Aircraft Avionics",5,"System Development & Demonstration",2040,,1999,,,15027,,,,,
4146,"0605606A","Aircraft Certification",6,"RDT&E Management Support",2040,,1999,,,2878,,,,,
4147,"0634205N","Aircraft Energy Conservation RDTE Program",4,"Advanced Component Development & Prototypes",1320,,1999,,,0,,,,,
4148,"0207268F","Aircraft Engine Component Improvement Program",7,"Operational Systems Development",3600,,1999,,,93338,,,,,
4149,"0203752A","Aircraft Engine Component Improvement Program",7,"Operational Systems Development",2040,,1999,,,6543,,,,,
4150,"0203744A","Aircraft Modifications/Product Improvement Programs",7,"Operational Systems Development",2040,,1999,,,23577,,,,,
4151,"0602122N","Aircraft Technology",2,,1319,,1999,,,30251,,,,,
4152,"0101122F","Air-Launched Cruise Missile (ALCM)",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4153,"0603943D8Z","Air-to-Air Technology",3,,400,,1999,,,0,,,,,
4154,"0633011S","Algal Derived Biofuel Program",3,"Advanced Technology Development (ATD)",401,,1999,,,0,,,,,
4155,"0603857J","All Service Combat Identification Evaluation Team (ASCIET)",4,,400,,1999,,,12914,,,,,
4156,"0603857N","All Service Combat Identification Evaluation Team (ASCIET)",4,,1319,,1999,,,0,,,,,
4157,"0604321A","All Source Analysis System",5,"System Development & Demonstration",2040,,1999,,,35246,,,,,
4158,"0604796F","Alternative Fuels",4,"Advanced Component Development & Prototypes",3600,,1999,,,0,,,,,
4159,"0604443F","Third Generation Infrared Surveillance (3GIRS)",5,"System Development & Demonstration",3600,,1999,,,0,,,,,
4160,"0634204N","Alternative Test Fuel and Cert Protocol Acceleration",4,"Advanced Component Development & Prototypes",1320,,1999,,,0,,,,,
4161,"0401840F","AMC Command and Control System",3,,3600,,1999,,,0,,,,,
4162,"0204413N","Amphibious Tactical Support Units (Displacement Craft)",7,"Operational Systems Development",1319,,1999,,,1822,,,,,
4163,"0634006D8Z","Anaerobic Digester Technology",4,"Advanced Component Development & Prototypes",401,,1999,,,0,,,,,
4164,"0605798F","Analysis Support Group",7,,3600,"Classified (Named)",1999,,,0,,,,,
4165,"0605024F","Anti-Tamper Technology Executive Agency",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4166,"0305142F","Applied Technology and Integration",7,,3600,"Classified (Named)",1999,,,0,,,,,
4167,"0604602F","Armament/Ordnance Development",5,"System Development & Demonstration",3600,,1999,,,11215,,,,,
4168,"0604220A","Armed, Deployable Helos",5,"System Development & Demonstration",2040,,1999,,,0,,,,,
4169,"0603645A","Armored System Modernization - Adv Dev",4,,2040,,1999,,,0,,,,,
4170,"0604645A","Armored Systems Modernization (ASM)-Eng. Dev.",5,,2040,,1999,,,4259,,,,,
4171,"0603711BR","Arms Control Technology",3,,400,,1999,,,57168,,,,,
4172,"0605857A","Environmental Quality Technology Mgmt Support",6,"RDT&E Management Support",2040,,1999,,,0,,,,,
4173,"0602789A","ARMY Artificial Intelligence Technology",2,,2040,,1999,,,1119,,,,,
4174,"0603713A","Army Data Distribution System",4,,2040,,1999,,,16084,,,,,
4175,"0605716A","Army Evaluation Center",6,"RDT&E Management Support",2040,,1999,,,26248,,,,,
4176,"0605301A","Army Kwajalein Atoll",6,"RDT&E Management Support",2040,,1999,,,127470,,,,,
4177,"0603305A","Army Missle Defense Systems Integration",4,"Advanced Component Development & Prototypes",2040,,1999,,,0,,,,,
4178,"0603308A","Army Space Systems Integration",4,"Advanced Component Development & Prototypes",2040,,1999,,,37929,,,,,
4179,"0604818A","Army Tactical Command & Control Hardware & Software",5,"System Development & Demonstration",2040,,1999,,,33993,,,,,
4180,"0605602A","Army Technical Test Instrumentation and Targets",6,"RDT&E Management Support",2040,,1999,,,41726,,,,,
4181,"0605601A","Army Test Ranges and Facilities",6,"RDT&E Management Support",2040,,1999,,,120024,,,,,
4182,"0603854A","Artillery Systems - Dem/Val",4,,2040,,1999,,,300429,,,,,
4183,"0604854A","Artillery Systems - EMD",5,"System Development & Demonstration",2040,,1999,,,1059,,,,,
4184,"0603892D8Z","ASAT",4,,400,,1999,,,0,,,,,
4185,"0604942D8Z","Assessments and Evaluations",6,"Management Support",400,,1999,,,4330,,,,,
4186,"0603254N","ASW Systems Development",4,"Advanced Component Development & Prototypes",1319,,1999,,,25030,,,,,
4187,"0604830F","Automated Air-to-Air Refueling",4,"Advanced Component Development & Prototypes",3600,,1999,,,0,,,,,
4188,"0603232D8Z","Automatic Target Recognition",3,,400,,1999,,,6107,,,,,
4189,"0604746A","Automatic Test Equipment Development",5,"System Development & Demonstration",2040,,1999,,,9423,,,,,
4190,"0604214N","AV-8B Aircraft - Eng Dev",5,"System Development & Demonstration",1319,,1999,,,40079,,,,,
4191,"0603801A","Aviation - Adv Dev",4,"Advanced Component Development & Prototypes",2040,,1999,,,10996,,,,,
4192,"0604801A","Aviation - Eng Dev",5,,2040,,1999,,,11056,,,,,
4193,"0603003A","Aviation Advanced Technology",3,"Advanced Technology Development",2040,,1999,,,43509,,,,,
4194,"1160422BB","Aviation Engineering Analysis",3,"Advanced Technology Development",400,,1999,,,0,,,,,
4195,"0205633N","Aviation Improvements",7,"Operational Systems Development",1319,,1999,,,58284,,,,,
4196,"0606301D8Z","Aviation Safety Technologies",6,"Management Support",400,,1999,,,0,,,,,
4197,"0603216N","Aviation Survivability",4,"Advanced Component Development & Prototypes",1319,,1999,,,10585,,,,,
4198,"0602211A","Aviation Technology",2,"Applied Research",2040,,1999,,,23854,,,,,
4199,"0702239A","Avionics Component Improvement Program",7,"Operational Systems Development",2040,,1999,,,0,,,,,
4200,"0702239F","Avionics Component Improvement Program",7,,3600,,1999,,,0,,,,,
4201,"0702239N","Avionics Component Improvement Program",7,"Operational Systems Development",1319,,1999,,,0,,,,,
4202,"0604226F","B-1B",5,"System Development & Demonstration",3600,,1999,,,175686,,,,,
4203,"0101126F","B-1B Squadrons",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4204,"0604240F","B-2 Advanced Technology Bomber",5,"System Development & Demonstration",3600,,1999,,,108620,,,,,
4205,"0604240F","B-2 Advanced Technology Bomber",7,,3600,,1999,,,0,,,,,
4206,"0101127F","B-2 Squadrons",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4207,"0101113F","B-52 Squadrons",7,"Operational Systems Development",3600,,1999,,,6042,,,,,
4208,"0603883C","Ballistic Missile Defense Boost Defense Segment",4,"Advanced Component Development & Prototypes",400,,1999,,,0,,,,,
4209,"0603896C","Ballistic Missile Defense Command and Control, Battle Management and Communicati",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4210,"0603905C","Ballistic Missile Defense Concurrent Test, Training and Operations",4,,400,,1999,,,0,,,,,
4211,"0603897C","Ballistic Missile Defense Hercules",4,"Advanced Component Development & Prototypes",400,,1999,,,0,,,,,
4212,"0603904C","Missile Defense Integration & Operations Center (MDIOC)",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4213,"0603898C","Ballistic Missile Defense Joint Warfighter Support",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4214,"0603882C","Ballistic Missile Defense Midcourse Defense Segment",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4215,"0603889C","Ballistic Missile Defense Products",4,,400,,1999,,,0,,,,,
4216,"0603884C","Ballistic Missile Defense Sensors",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4217,"0603886C","Ballistic Missile Defense System Interceptor",4,"Advanced Component Development & Prototypes",400,,1999,,,0,,,,,
4218,"0603880C","Ballistic Missile Defense System Segment",4,,400,,1999,,,0,,,,,
4219,"0603895C","Ballistic Missile Defense System Space Programs",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4220,"0603890C","BMD Enabling Programs",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4221,"0603175C","Ballistic Missile Defense Technology",3,"Advanced Technology Development",400,,1999,,,0,,,,,
4222,"0603881C","Ballistic Missile Defense Terminal Defense Segment",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4223,"0603888C","Ballistic Missile Defense Test & Targets",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4224,"0603311F","Ballistic Missile Technology",3,,3600,,1999,,,15379,,,,,
4225,"0602618A","Ballistics Technology",2,"Applied Research",2040,,1999,,,26839,,,,,
4226,"0305287A","Base Exped Targeting Surveillance Sys-Combined",7,,2040,,1999,,,0,,,,,
4227,"0605896A","Base Operations - RDT&E",6,,2040,,1999,,,233611,,,,,
4228,"0604721N","Battle Group Passive Horizon Extension System",5,,1319,,1999,,,2859,,,,,
4229,"0604283F","Battle Mgmt Com & Ctrl Sensor Development",4,"Advanced Component Development & Prototypes",3600,,1999,,,0,,,,,
4230,"0603728F","Battlespace C2 Technology",3,,3600,,1999,,,7150,,,,,
4231,"0603788F","Battlespace Knowledge Development and Demonstration",3,"Advanced Technology Development",3600,,1999,,,0,,,,,
4232,"0602383E","Biological Warfare Defense",2,"Applied Research",400,,1999,,,84009,,,,,
4233,"0603665D8Z","Biometrics Science and Technology",3,"Advanced Technology Development",400,,1999,,,0,,,,,
4234,"0605114D8Z","BLACK LIGHT",6,,400,"Classified (Named)",1999,,,0,,,,,
4235,"0605114E","BLACK LIGHT",6,,400,"Classified (Named)",1999,,,4985,,,,,
4236,"0603911C","BMD European Capability",4,"Advanced Component Development & Prototypes",400,,1999,,,0,,,,,
4237,"0603912C","BMD European Communications Support",4,"Advanced Component Development & Prototypes",400,,1999,,,0,,,,,
4238,"0603908C","BMD European Interceptor Site",4,"Advanced Component Development & Prototypes",400,,1999,,,0,,,,,
4239,"0603909C","BMD European Midcourse Radar",4,"Advanced Component Development & Prototypes",400,,1999,,,0,,,,,
4240,"0603874C","BMD Technical Operations",4,,400,,1999,,,188317,,,,,
4241,"0901200D8Z","BMMP Domain Management and Systems Integration",5,,400,,1999,,,0,,,,,
4242,"0207446F","Bomber Tactical Data Link",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4243,"0603870C","Boost Phase Intercept Theater Missile Defense Acquisition - Dem/Val",4,,400,,1999,,,6335,,,,,
4244,"0604768A","Brilliant Anti-Armor Submunition (BAT)",5,,2040,,1999,,,131940,,,,,
4245,"0606100D8Z","Budget and Program Assessments",6,"Management Support",400,,1999,,,0,,,,,
4246,"0605020BTA","Business Transformation Agency R&D Activities",5,"System Development and Demonstration (SDD)",400,,1999,,,0,,,,,
4247,"0605430N","C/KC-130 Avionics Modernization Program (AMP)",5,"System Development & Demonstration",1319,,1999,,,0,,,,,
4248,"0401115F","C-130 Airlift Squadron",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4249,"0401132F","C-130J Program",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4250,"0401130F","C-17 Aircraft (IF)",7,"Operational Systems Development",3600,,1999,,,120368,,,,,
4251,"0207448F","C2ISR Tactical Data Link",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4252,"0603794N","C3 Advanced Technology",3,,1319,,1999,,,43217,,,,,
4253,"0208045K","C4I Interoperability",7,"Operational System Development",400,,1999,,,29080,,,,,
4254,"0603789F","C3I Advanced Development",3,"Advanced Technology Development",3600,,1999,,,12286,,,,,
4255,"0305190D8Z","C3I Intelligence Programs",7,,400,,1999,,,10589,,,,,
4256,"0303149J","C4I for the Warrior",7,"Operational Systems Development",400,,1999,,,2798,,,,,
4257,"0303149K","C4I for the Warrior",7,,400,,1999,,,3407,,,,,
4258,"0401119F","C-5 Airlift Squadrons (IF)",7,"Operational Systems Development",3600,,1999,,,37348,,,,,
4259,"0603736D8Z","CALS Initiative",4,,400,,1999,,,6994,,,,,
4260,"0604140D8Z","Capital Asset Management System-Military Equipment (CAMS-ME)",6,,400,,1999,,,0,,,,,
4261,"0603512N","Carrier Systems Development",4,"Advanced Component Development & Prototypes",1319,,1999,,,105787,,,,,
4262,"0605154N","Center for Naval Analyses",6,"Management Support",1319,,1999,,,41682,,,,,
4263,"0604940D8Z","Central Test and Evaluation Investment Development (CTEIP)",6,"Management Support",400,,1999,,,0,,,,,
4264,"0604940D8Z","Central Test and Evaluation Investment Development (CTEIP)",6,,450,,1999,,,131669,,,,,
4265,"0604940D8Z","Central Test and Evaluation Investment Development (CTEIP)",6,,460,,1999,,,0,,,,,
4266,"0204201N","CG(X)",5,"System Development & Demonstration",1319,,1999,,,0,,,,,
4267,"0605212N","CH-53K RDTE",5,"System Development & Demonstration",1319,,1999,,,0,,,,,
4268,"0603734N","CHALK CORAL",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",1999,,,96249,,,,,
4269,"0603576N","CHALK EAGLE",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",1999,,,116268,,,,,
4270,"0607384BP","Chemical and Biological Defense (Operational Systems Development)",7,"Operational System Development",400,,1999,,,0,,,,,
4271,"0605384BP","Chemical and Biological Defense Program",6,"Management Support",400,,1999,,,25099,,,,,
4272,"0601384BP","Chemical and Biological Defense Program",1,"Basic Research",400,,1999,,,28505,,,,,
4273,"0602384BP","Chemical and Biological Defense Program",2,"Applied Research",400,,1999,,,62301,,,,,
4274,"0603384BP","Chemical and Biological Defense Program - Advanced Development",3,"Advanced Technology Development",400,,1999,,,59186,,,,,
4275,"0603884BP","Chemical and Biological Defense Program - Dem/Val",4,"Advanced Component Development And Prototypes",400,,1999,,,61409,,,,,
4276,"0604384BP","Chemical and Biological Defense Program - EMD",5,"System Development And Demonstration",400,,1999,,,103159,,,,,
4277,"0602622A","Chemical, Smoke and Equipment Defeating Technology",2,"Applied Research",2040,,1999,,,4660,,,,,
4278,"0604708F","Civil, Fire, Environmental, Shelter Engineering",5,,3600,,1999,,,2599,,,,,
4279,"0901218F","Civilian Compensation Program",7,"Operational Systems Development",3600,,1999,,,6700,,,,,
4280,"0603765E","Classified DARPA Programs",3,"Advanced Technology Development",400,"Classified (Named)",1999,,,48797,,,,,
4281,"0605128BR","Classified Program",6,,400,"Classified (Unnamed)",1999,,,13583,,,,,
4282,"0605128D8Z","Classified Program USD(P)",6,"Management Support",400,"Classified (Named)",1999,,,3230,,,,,
4283,"0603831N","Classified Programs",5,,1319,"Classified (Unnamed)",1999,,,0,,,,,
4284,"0301555A","CLASSIFIED PROGRAMS",7,,2040,"Classified (Unnamed)",1999,,,0,,,,,
4285,"0301555BB","CLASSIFIED PROGRAMS",7,,400,"Classified (Unnamed)",1999,,,0,,,,,
4286,"0301555G","Classified Programs",6,,400,"Classified (Unnamed)",1999,,,0,,,,,
4287,"0301555G","Classified Programs",7,,400,"Classified (Unnamed)",1999,,,0,,,,,
4288,"0301555F","Classified Programs",1,,3600,"Classified (Unnamed)",1999,,,0,,,,,
4289,"0301555N","Classified Programs",7,,1319,"Classified (Unnamed)",1999,,,0,,,,,
4290,"0301555BQ","Classified Programs",7,,400,"Classified (Unnamed)",1999,,,0,,,,,
4291,"0301555BZ","Classified Programs",7,,400,"Classified (Unnamed)",1999,,,0,,,,,
4292,"0605710D8Z","Classified Programs - C3I",6,,400,"Classified (Named)",1999,,,61733,,,,,
4293,"0603923D8Z","Coalition Warfare",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4294,"0301314F","COBRA BALL",7,,3600,"Classified (Named)",1999,,,0,,,,,
4295,"0305149N","COBRA JUDY",7,"Operational Systems Development",1319,"Classified (Named)",1999,,,0,,,,,
4296,"0305149F","COBRA JUDY (H)",4,,3600,"Classified (Named)",1999,,,0,,,,,
4297,"0804767D8Z","COCOM Exercise Engagement and Training Transformation (CE2T2) - MHA",6,"Management Support",400,,1999,,,0,,,,,
4298,"0602304E","Cognitive Computing Systems",2,"Applied Research",400,,1999,,,0,,,,,
4299,"0301323N","Collection Management",7,,1319,,1999,,,0,,,,,
4300,"0604223A","Comanche",5,,2040,,1999,,,352217,,,,,
4301,"0207431F","Combat Air Intelligence System Activities",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4302,"0604713A","Combat Feeding, Clothing, and Equipment",5,"System Development & Demonstration",2040,,1999,,,62500,,,,,
4303,"0604817A","Combat Identification",5,"System Development & Demonstration",2040,,1999,,,15520,,,,,
4304,"0603742F","Combat Identification Technology",4,"Advanced Component Development & Prototypes",3600,,1999,,,5109,,,,,
4305,"0604518N","Combat Information Center Conversion",5,"System Development & Demonstration",1319,,1999,,,6539,,,,,
4306,"0207414F","Combat Intelligence System",7,,3600,,1999,,,13635,,,,,
4307,"0207227F","Combat Rescue - Pararescue",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4308,"0207224F","Combat Rescue and Recovery",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4309,"0603805A","Combat Service Support Control System Evaluation and Analysis",4,"Advanced Component Development & Prototypes",2040,,1999,,,14312,,,,,
4310,"0305176F","Combat Survivor Evader Locator",5,"System Development & Demonstration",3600,,1999,,,3977,,,,,
4311,"0603582N","Combat System Integration",4,"Advanced Component Development & Prototypes",1319,,1999,,,38337,,,,,
4312,"0604735F","Combat Training Ranges",5,"System Development & Demonstration",3600,,1999,,,13141,,,,,
4313,"0603005A","Combat Vehicle and Automotive Advanced Technology",3,"Advanced Technology Development",2040,,1999,,,58706,,,,,
4314,"0602601A","Combat Vehicle and Automotive Technology",2,"Applied Research",2040,,1999,,,38139,,,,,
4315,"0203735A","Combat Vehicle Improvement Programs",7,"Operational Systems Development",2040,,1999,,,89010,,,,,
4316,"0305880L","Combatant Command Intelligence Operations",7,,400,,1999,,,0,,,,,
4317,"0603122D8Z","Combating Terrorism Technology Support",3,"Advanced Technology Development",400,,1999,,,36349,,,,,
4318,"0603125A","Combating Terrorism - Technology Development",3,"Advanced Technology Development",2040,,1999,,,0,,,,,
4319,"0305172F","Combined Advanced Applications",7,,3600,"Classified (Named)",1999,,,0,,,,,
4320,"0604780A","Combined Arms Tactical Trainer (CATT) Core",5,"System Development & Demonstration",2040,,1999,,,21644,,,,,
4321,"0888888U","Combined Dummy PE",6,,3600,,1999,,,0,,,,,
4322,"0305108K","Command and Control Research",2,,400,,1999,,,1943,,,,,
