"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
4362,"0208889F","Counterdrug USSOUTHCOM Support",7,,3600,,2003,0,0,0,,,,,
4363,"0602712A","Countermine Systems",2,"Applied Research",2040,,2003,13186,16857,18408,,,,,
4364,"0603160BR","Counterproliferation Initiatives - Proliferation Prevention and Defeat",3,"Advanced Technology Development",400,,2003,77389,80377,105164,,,,,
4365,"0605160BR","Counterproliferation Support",6,,400,,2003,0,0,0,,,,,
4366,"0605160D8Z","Counterproliferation Support",3,,400,,2003,1806,1729,1683,,,,,
4367,"0604421F","Counterspace Systems",5,"System Development & Demonstration",3600,,2003,40053,39458,37077,,,,,
4368,"0603231F","Crew Systems and Personnel Protection Technology",3,"Advanced Technology Development",3600,,2003,29690,39235,37959,,,,,
4369,"0305125D8Z","Critical Infrastructure Protection (CIP)",7,"Operational System Development",400,,2003,0,0,0,,,,,
4370,"0605110BR","Critical Technology Support",6,,400,,2003,1862,1815,1823,,,,,
4371,"0301011G","Cryptologic Activities",7,,400,,2003,0,0,0,,,,,
4372,"0204574N","Cryptologic Direct Support",7,"Operational Systems Development",1319,,2003,0,0,0,,,,,
4373,"0207277F","ISR Innovations",7,"Operational Systems Development",3600,,2003,1920,1879,1671,,,,,
4374,"0605277F","CSAR-X RDT&E",5,"System Development & Demonstration",3600,,2003,0,0,0,,,,,
4375,"0401318F","CV-22",5,"System Development & Demonstration",3600,,2003,11449,11201,7736,,,,,
4376,"0305103D8Z","Cyber Security Initiative",7,"Operational Systems Development",400,,2003,0,0,0,,,,,
4377,"0305103E","Cyber Security Initiative",6,"Management Support",400,,2003,0,0,0,,,,,
4378,"0305103F","Cyber Security Initiative",7,"Operational Systems Development",3600,,2003,0,0,0,,,,,
4379,"0305103K","Cyber Security Initiative",7,"Operational System Development",400,,2003,0,0,0,,,,,
4380,"0305103G","Cyber Security Initiative",7,,400,,2003,0,0,0,,,,,
4381,"0301371G","Cyber Security Initiative - CCP",7,,400,,2003,0,0,0,,,,,
4382,"0301372N","Cyber Security Initiative - GDIP",7,,1319,,2003,0,0,0,,,,,
4383,"0301372L","Cyber Security Initiative - GDIP",7,,400,,2003,0,0,0,,,,,
4384,"0605897E","DARPA Agency Relocation",6,"Management Support",400,,2003,0,0,0,,,,,
4385,"0204202N","DDG-1000",5,"System Development & Demonstration",1319,,2003,0,0,0,,,,,
