"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
4930,"0604216N","Multi-Mission Helicopter Upgrade Development",5,"System Development & Demonstration",1319,,2001,"Total",69946,,83115,,,78386,,,
4931,"0605500N","Multi-mission Maritime Aircraft (MMA)",5,"System Development & Demonstration",1319,,2001,"Total",0,,0,,,0,,,
4932,"0605172N","Multinational Information Sharing (MNIS)",5,,1319,,2001,"Total",0,,0,,,0,,,
4933,"0207040F","Multi-Platform Electronic Warfare Equipment",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4934,"0603894C","Multiple Kill Vehicle",4,"Advanced Component Development & Prototypes",400,,2001,"Total",0,,0,,,0,,,
4935,"0207450F","Multi-Sensor C2 Aircraft (MC2A)",5,,3600,,2001,"Total",0,,0,,,0,,,
4936,"0604600F","Munitions Dispenser Development",5,,3600,,2001,"Total",0,,0,,,0,,,
4937,"0605805A","Munitions Standardization, Effectiveness and Safety",6,"RDT&E Management Support",2040,,2001,"Total",11276,,16622,,,15961,,,
4938,"0601901F","Nanoscale Additives for Novel Fuels",1,"Basic Research",3605,,2001,"Total",0,,0,,,0,,,
4939,"0307141F","Information Operations Technology Integration & Tool Development",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4940,"0301310F","National Air Intelligence Center",7,,3600,"Classified (Named)",2001,"Total",0,,0,,,0,,,
4941,"0305137F","National Airspace System (NAS) Plan",7,,3600,,2001,"Total",200,,0,,,0,,,
4942,"0601120D8Z","National Defense Education Program",1,"Basic Research",400,,2001,"Total",0,,0,,,0,,,
4943,"0304345BQ","National Imagery and Mapping Program",7,,400,,2001,"Total",0,,0,,,0,,,
4944,"0302016K","National Military Command System-Wide Support",7,"Operational System Development",400,,2001,"Total",641,,610,,,608,,,
4945,"0603871C","National Missile Defense - Dem/Val",4,,400,,2001,"Total",1740238,,1853527,,,1823723,,,
4946,"0603434F","National Polar-orbiting Operational Environmental Satellite Sys (SPACE) - D",4,,3600,,2001,"Total",76654,,75950,,,71032,,,
4947,"0305178F","National Polar-Orbiting Operational Environmental Satellite System (NPOESS)",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",0,,0,,,0,,,
4948,"0305917D8Z","National Security Space Architect (NSSA)",7,,400,,2001,"Total",0,,0,,,0,,,
4949,"0305924F","National Security Space Office",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4950,"1001018A","NATO Joint STARS",7,,2040,,2001,"Total",0,,0,,,500,,,
4951,"1001018D8Z","NATO AGS",7,"Operational Systems Development",400,,2001,"Total",0,,0,,,0,,,
4952,"1001018F","NATO Joint STARS",7,,3600,,2001,"Total",3270,,3240,,,4640,,,
4953,"0603790A","NATO Research and Development",4,"Advanced Component Development & Prototypes",2040,,2001,"Total",1920,,1902,,,1847,,,
4954,"0603790N","NATO Research and Development",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",8992,,8909,,,8620,,,
4955,"0603790T","NATO Research and Development",4,,400,,2001,"Total",0,,0,,,0,,,
4956,"0603790F","NATO Research and Development",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",5509,,5458,,,5217,,,
4957,"0604378N","Naval Integrated Fire Control - Counter Air Systems Engineering",5,"System Development & Demonstration",1319,,2001,"Total",0,,0,,,0,,,
4958,"0305927N","Naval Space Surveillance",7,,1319,,2001,"Total",2038,,1425,,,1411,,,
4959,"0604777N","Navigation/ID System",5,"System Development & Demonstration",1319,,2001,"Total",18487,,18314,,,17300,,,
4960,"0305165F","NAVSTAR Global Positioning System (Space and Control Segments)",7,"Operational Systems Development",3600,,2001,"Total",250197,,258592,,,241163,,,
4961,"0305164F","NAVSTAR Global Positioning System (User Equipment) (SPACE)",7,"Operational Systems Development",3600,,2001,"Total",66975,,66360,,,60330,,,
4962,"0603421F","NAVSTAR Global Positioning System III",4,,3600,,2001,"Total",0,,0,,,0,,,
4963,"0604235N","Navy Area Missile Defense",5,,1319,,2001,"Total",0,,0,,,0,,,
4964,"0604867C","Navy Area Theater Missile Defense - EMD",5,,400,,2001,"Total",274234,,269552,,,267453,,,
4965,"0604710N","Navy Energy Program",5,,1319,,2001,"Total",5531,,5480,,,5015,,,
4966,"0603724N","Navy Energy Program",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",4942,,7869,,,7311,,,
4967,"0603739N","Navy Logistic Productivity",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",0,,12880,,,14500,,,
4968,"0305160N","Navy Meteorological and Ocean Sensors-Space (METOC)",7,"Operational Systems Development",1319,,2001,"Total",19730,,19549,,,22079,,,
4969,"0205658N","Navy Science Assistance Program",7,"Operational Systems Development",1319,,2001,"Total",0,,0,,,0,,,
4970,"0634208N","Navy Shipboard Energy Program",4,"Advanced Component Development & Prototypes",1320,,2001,"Total",0,,0,,,0,,,
4971,"0605866N","Navy Space and Electronic Warfare (SEW) Support",6,"Management Support",1319,,2001,"Total",3262,,3232,,,3115,,,
4972,"0508713N","Navy Standard Integrated Personnel System (NSIPS)",5,,1319,,2001,"Total",5917,,5863,,,5653,,,
4973,"0101402N","Navy Strategic Communications",7,"Operational Systems Development",1319,,2001,"Total",0,,0,,,0,,,
4974,"0604574N","Navy Tactical Computer Resources",5,"System Development & Demonstration",1319,,2001,"Total",3291,,30608,,,29828,,,
4975,"0603727N","Navy Technical Information Presentation System",3,,1319,,2001,"Total",49506,,51033,,,64615,,,
4976,"0603868C","Navy Theater Wide Missile Defense System",4,,400,,2001,"Total",382671,,456372,,,440930,,,
4977,"0603758N","Navy Warfighting Experiments and Demonstrations",3,"Advanced Technology Development",1319,,2001,"Total",0,,0,,,0,,,
4978,"0305906F","NCMC - TW/AA System",7,,3600,,2001,"Total",19309,,19132,,,19908,,,
4979,"0305199D8Z","Net Centricity",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
4980,"0303170K","Net-Centric Enterprise Services (NCES)",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
4981,"0305221F","Network-Centric Collaborative Targeting",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4982,"0603766E","Network-Centric Warfare Technology",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
4983,"0603662D8Z","Networked Communications Capabilities",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
4984,"0604558N","New Design SSN",5,"System Development & Demonstration",1319,,2001,"Total",207091,,212127,,,207395,,,
4985,"0605221F","KC-46",5,"System Development & Demonstration",3600,,2001,"Total",0,,0,,,0,,,
4986,"0604015F","Long Range Strike",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",0,,0,,,0,,,
4987,"0602110E","Next Generation Internet",2,,400,,2001,"Total",15000,,14862,,,14461,,,
4988,"0604274N","Next Generation Jammer (NGJ)",5,"System Development & Demonstration",1319,,2001,"Total",0,,0,,,0,,,
4989,"0603015A","Next Generation Training & Simulation Systems",3,"Advanced Technology Development",2040,,2001,"Total",0,,0,,,0,,,
4990,"0101314F","Night Fist - USSTRATCOM",7,"Operational Systems Development",3600,"Classified (Named)",2001,"Total",0,,0,,,0,,,
4991,"0603710A","Night Vision Advanced Technology",3,"Advanced Technology Development",2040,,2001,"Total",33341,,42746,,,41598,,,
4992,"0604710A","Night Vision Systems - Eng Dev",5,"System Development & Demonstration",2040,,2001,"Total",32574,,33764,,,28722,,,
4993,"0603774A","Night Vision Systems Advanced Development",4,"Advanced Component Development & Prototypes",2040,,2001,"Total",10968,,14831,,,14831,,,
4994,"0602709A","Night Vision Technology",2,"Applied Research",2040,,2001,"Total",20465,,23746,,,24935,,,
4995,"0603851M","Joint Non-Lethal Weapons Testing",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",23580,,29309,,,28115,,,
4996,"0604647A","Non-Line of Sight Cannon",5,"System Development & Demonstration",2040,,2001,"Total",0,,0,,,0,,,
4997,"0604646A","Non-Line of Sight Launch System",5,"System Development & Demonstration",2040,,2001,"Total",0,,0,,,0,,,
4998,"0604715A","Non-System Training Devices - Eng Dev",5,"System Development & Demonstration",2040,,2001,"Total",73295,,75522,,,71482,,,
4999,"0102411F","North Atlantic Defense System",7,,3600,,2001,"Total",0,,0,,,0,,,
5000,"0603161D8Z","Nuclear and Conventional Physical Security Equipment RDT&E ADC&P",4,"Advanced Component Development And Prototypes",400,,2001,"Total",0,,0,,,0,,,
5001,"0604161D8Z","Nuclear and Conventional Physical Security Equipment RDT&E SDD",5,"System Development And Demonstration",400,,2001,"Total",0,,0,,,0,,,
5002,"0604870A","Nuclear Arms Control Monitoring Sensor Network",5,"System Development & Demonstration",2040,,2001,"Total",0,,0,,,0,,,
5003,"0605161D8Z","Nuclear Matters-Physical Security",6,"Management Support",400,,2001,"Total",0,,0,,,0,,,
5004,"0602715BR","Nuclear Sustainment & Counterproliferation Technologies",2,,400,,2001,"Total",230928,,214865,,,310416,,,
5005,"0604222F","Nuclear Weapons Support",5,"System Development & Demonstration",3600,,2001,"Total",10133,,10039,,,9597,,,
5006,"0301357F","NUDET Detection System",7,,3600,,2001,"Total",0,,0,,,0,,,
5007,"0305913F","NUDET Detection System (SPACE)",7,"Operational Systems Development",3600,,2001,"Total",17088,,11977,,,14908,,,
