"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
4455,"0305202F","Dragon U-2",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4457,"0601000BR","DTRA Basic Research Initiative",1,"Basic Research",400,,2011,"CR.OCO",,,,,0,,,,
4463,"0204152N","E-2 Squadrons",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4464,"0302015F","E-4B National Airborne Operations Center (NAOC)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4465,"0604269N","EA-18",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4467,"0603270F","Electronic Combat Technology",3,"Advanced Technology Development",3600,,2011,"CR.OCO",,,,,0,,,,
4470,"0204575N","Electronic Warfare (EW) Readiness Support",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4471,"0603008A","Electronic Warfare Advanced Technology",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4473,"0602705A","Electronics and Electronic Devices",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4474,"0602716E","Electronics Technology",2,"Applied Research",400,,2011,"CR.OCO",,,,,0,,,,
4475,"0708045A","End Item Industrial Preparedness Activities",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
4476,"0305205F","Endurance Unmanned Aerial Vehicles",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4487,"0603721N","Environmental Protection",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4489,"0602720A","Environmental Quality Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4490,"0603728A","Environmental Quality Technology Demonstrations",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4491,"0603851D8Z","Environmental Security Technical Certification Program",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4492,"0603779A","Environmental Quality Technology - Dem/Val",4,"Advanced Component Development & Prototypes",2040,,2011,"CR.OCO",,,,,0,,,,
4493,"0307217N","EP-3E Replacement (EPX)",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4496,"0604853F","Evolved Expendable Launch Vehicle Program (SPACE) - EMD",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4497,"0604270A","Electronic Warfare Development",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,2074,,,,
4498,"0604270F","Electronic Warfare Development",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4499,"0604270N","Electronic Warfare Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4500,"0602270A","Electronic Warfare Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4501,"0603270A","Electronic Warfare Technology",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4502,"0605709A","Exploitation of Foreign Items",6,"RDT&E Management Support",2040,,2011,"CR.OCO",,,,,0,,,,
4507,"0204136N","F/A-18 Squadrons",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4510,"0207134F","F-15E Squadrons",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4511,"0207133F","F-16 Squadrons",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4514,"0207138F","F-22A Squadrons",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4515,"0603725N","Facilities Improvement",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4516,"0702976F","Facilities Restoration & Modernization - Logistics",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4517,"0605976F","Facilities Restoration and Modernization - Test and Evaluation Support",6,"Management Support",3600,,2011,"CR.OCO",,,,,0,,,,
4518,"0605978F","Facilities Sustainment - Test and Evaluation Support",6,"Management Support",3600,,2011,"CR.OCO",,,,,0,,,,
4519,"0604622A","Family of Heavy Tactical Vehicles",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4522,"0604660A","FCS Manned Grd Vehicles & Common Grd Vehicle",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4523,"0604662A","FCS Reconnaissance (UAV) Platforms",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4524,"0604665A","FCS Sustainment & Training R&D",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4525,"0604661A","FCS Systems of Systems Engr & Program Mgmt",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4526,"0604664A","FCS Unattended Ground Sensors",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4527,"0604663A","FCS Unmanned Ground Vehicles",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4528,"0207445F","Fighter Tactical Data Link",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4529,"0901538F","Financial Management Information Systems Development",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4531,"0909999A","Financing for Cancelled Account Adjustments",6,"RDT&E Management Support",2040,,2011,"CR.OCO",,,,,0,,,,
4533,"0909999F","Financing for Cancelled Account Adjustments",6,"Management Support",3600,,2011,"CR.OCO",,,,,0,,,,
4534,"0909999N","Financing for Cancelled Account Adjustments",6,"Management Support",1319,,2011,"CR.OCO",,,,,0,,,,
4537,"0604823A","Firefinder",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4539,"0204163N","Fleet Telecommunications (Tactical)",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4543,"0603123N","Force Protection Advanced Technology",3,"Advanced Technology Development",1319,,2011,"CR.OCO",,,,,0,,,,
4544,"0602123N","Force Protection Applied Research",2,"Applied Research",1319,,2011,"CR.OCO",,,,,0,,,,
4545,"0605799D8Z","Emerging Capabilities",6,"RDT&E Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4547,"0203759A","Force XXI Battle Command, Brigade and Below (FBCB2)",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
4548,"0605130D8Z","Foreign Comparative Testing",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4557,"0605117D8Z","Foreign Materiel Acquisition and Exploitation",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4561,"0207701F","Full Combat Mission Training",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4565,"0604822A","General Fund Enterprise Business System (GFEBS)",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4566,"0804731F","General Skill Training",6,"Management Support",3600,,2011,"CR.OCO",,,,,0,,,,
4568,"0605200D8Z","General Support to USD (Intelligence)",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4569,"0603712S","Generic Logistics R&D Technology Demonstrations",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4571,"0305099F","Global Air Traffic Management (GATM)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4572,"0603840F","Global Broadcast Service (GBS)",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4573,"0303141A","Global Combat Support System",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
4574,"0303141F","Global Combat Support System",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4575,"0303141K","Global Combat Support System",5,"System Development And Demonstration",400,,2011,"CR.OCO",,,,,0,,,,
4576,"0303150F","Global Command and Control System",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4577,"0303150K","Global Command and Control System",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4579,"0305220F","RQ-4 UAV",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4582,"0603423F","Global Positioning System III - Operational Control Segment",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4585,"0601111D8Z","Government/Industry Cosponsorship of University Research",1,"Basic Research",400,,2011,"CR.OCO",,,,,0,,,,
4586,"0305265F","GPS III Space Segment",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4589,"0604635F","Ground Attack Weapons Fuze Development",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4590,"0603768E","Guidance Technology",3,"Advanced Technology Development (ATD)",400,,2011,"CR.OCO",,,,,0,,,,
4592,"0604245N","H-1 Upgrades",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4594,"0604327F","Hard and Deeply Buried Target Defeat System (HDBTDS) Program",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4596,"0205601N","HARM Improvement",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4598,"0605278F","HC/MC-130 Recap RDT&E",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4601,"0603924F","High Energy Laser Advanced Technology Program",3,"Advanced Technology Development",3600,,2011,"CR.OCO",,,,,0,,,,
4603,"0602890F","High Energy Laser Research",2,"Applied Research",3600,,2011,"CR.OCO",,,,,0,,,,
4605,"0601108F","High Energy Laser Research Initiatives",1,"Basic Research",3600,,2011,"CR.OCO",,,,,0,,,,
4606,"0603755D8Z","High Performance Computing Modernization Program",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4612,"0602228D8Z","Historically Black Colleges and Universities (HBCU) Science",2,"Applied Research",400,,2011,"CR.OCO",,,,,0,,,,
4614,"0305387D8Z","Homeland Defense Technology Transfer Program",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4615,"0605021SE","Homeland Personnel Security Initiative",5,"System Development And Demonstration",400,,2011,"CR.OCO",,,,,0,,,,
4617,"0603456F","Human Effectiveness Advanced Technology Development",3,"Advanced Technology Development",3600,,2011,"CR.OCO",,,,,0,,,,
4618,"0602202F","Human Effectiveness Applied Research",2,"Applied Research",3600,,2011,"CR.OCO",,,,,0,,,,
4619,"0602716A","Human Factors Engineering Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4621,"0603670D8Z","Human, Social and Culture Behavior Modeling (HSCB) Advanced Development",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4622,"0602670D8Z","Human, Social and Culture Behavior Modeling (HSCB) Applied Research",2,"Applied Research",400,,2011,"CR.OCO",,,,,0,,,,
4623,"0604670D8Z","Human, Social and Culture Behavior Modeling (HSCB) Research and Engineering",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4624,"0603920D8Z","Humanitarian Demining",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4635,"0708011N","Industrial Preparedness",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4636,"0708011S","Industrial Preparedness",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4638,"0604601A","Infantry Support Weapons",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4639,"0602303E","Information & Communications Technology",2,"Applied Research",400,,2011,"CR.OCO",,,,,0,,,,
4642,"0303140A","Information Systems Security Program",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,24315,,,,
4643,"0303140D8Z","Information Systems Security Program",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4644,"0303140F","Information Systems Security Program",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4645,"0303140G","Information Systems Security Program",7,"Operational System Development",400,,2011,"CR.OCO",,,,,819,,,,
4647,"0303140K","Information Systems Security Program",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4648,"0303140N","Information Systems Security Program",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4650,"0605013A","Information Technology Development",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4651,"0605013BL","Information Technology Development",5,"System Development And Demonstration",400,,2011,"CR.OCO",,,,,0,,,,
4653,"0605013M","Information Technology Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4654,"0605013N","Information Technology Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4659,"0303169D8Z","Information Technology Rapid Acquisition",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4661,"0208021F","Information Warfare Support",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4662,"0601152N","In-House Laboratory Independent Research",1,"Basic Research",1319,,2011,"CR.OCO",,,,,0,,,,
4663,"0601101A","In-House Laboratory Independent Research",1,"Basic Research",2040,,2011,"CR.OCO",,,,,0,,,,
4665,"0605712F","Initial Operational Test & Evaluation",6,"Management Support",3600,,2011,"CR.OCO",,,,,0,,,,
4666,"0603000D8Z","Joint Munitions Advanced Technology",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4667,"0602000D8Z","Joint Munitions Technology",2,"Applied Research",400,,2011,"CR.OCO",,,,,0,,,,
4671,"0603850F","Integrated Broadcast Service - Dem/Val",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4672,"0603850A","Integrated Broadcast Service",4,"Advanced Component Development & Prototypes",2040,,2011,"CR.OCO",,,,,0,,,,
4673,"0604740F","Integrated Command & Control Applications (IC2A)",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4678,"0204311N","Integrated Surveillance System",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4679,"0603260F","Intelligence Advanced Development",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4680,"0604761N","Intelligence Engineering",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4681,"0604750F","Intelligence Equipment",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4683,"0305193D8Z","Cyber Intelligence",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4684,"0305193F","Cyber Intelligence",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4689,"0305887F","Intelligence Support to Information Warfare",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4690,"0603851F","Intercontinental Ballistic Missile - Dem/Val",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4691,"0604851F","Intercontinental Ballistic Missile - EMD",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4693,"1001004F","International Activities",6,"Management Support",3600,,2011,"CR.OCO",,,,,0,,,,
4695,"0305600D8Z","International Intelligence Technology and Architectures",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4696,"0603791F","International Space Cooperative R&D",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4697,"0208043J","Planning and Decision Aid System (PDAS)",7,"Operational System Development",400,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
4698,"0603913C","Israeli Cooperative Programs",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4699,"0901598D8W","Management Headquarters WHS",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4700,"0604611A","JAVELIN",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4701,"0603200D8Z","Joint Advanced Concepts",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4703,"0605450A","Joint Air-to-Ground Missile (JAGM)",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4704,"0605450N","Joint Air-to-Ground Missile (JAGM)",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4706,"0207325F","Joint Air-to-Surface Standoff Missile (JASSM)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4709,"0603648D8Z","Joint Capability Technology Demonstrations",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4710,"0604648D8Z","Joint Capability Technology Demonstrations",4,"Advanced Component Development & Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4711,"0401138F","C-27J Airlift Squadrons",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4713,"0303158F","Joint Command and Control Program (JC2)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4718,"0604653N","Joint Counter Radio Controlled IED Electronic Warfare (JCREW)",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4720,"0602663D8Z","Data to Decisions Applied Research",2,"Applied Research",400,,2011,"CR.OCO",,,,,0,,,,
4721,"0603663D8Z","Data to Decisions Advanced Technology Development",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4722,"0604618F","Joint Direct Attack Munition",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4724,"0603225D8Z","Joint DoD-DoE Munitions Technology Development",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4725,"0604330F","Joint Dual Role Air Dominance Missile",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4726,"0303191D8Z","Joint Electromagnetic Technology (JET) Program",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4727,"0603618D8Z","Joint Electronic Advanced Technology",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4729,"0603828D8Z","Joint Experimentation",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4730,"0604828D8Z","Joint FIRES Integration and Interoperability Team",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4733,"0207170F","Joint Helmet Mounted Cueing System (JHMCS)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4734,"0208058A","Joint High Speed Vessel (JHSV)",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
4735,"0208058N","Joint High Speed Vessel (JHSV)",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4736,"0607828D8Z","Joint Integration and Interoperability",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4739,"0303260D8Z","Defense Military Deception Program Office (DMDPO)",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4740,"0305192N","Military Intelligence Program (MIP) Activities",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4741,"0605100D8Z","Joint Mission Environment Test Capability (JMETC)",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4742,"1160423BB","Joint Multi-Mission Submersible",7,"Operational Systems Development",400,,2011,"CR.OCO",,,,,0,,,,
4744,"0804757F","Joint National Training Center",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4746,"0602651M","Joint Non-Lethal Weapons Applied Research",2,"Applied Research",1319,,2011,"CR.OCO",,,,,0,,,,
4747,"0603651M","Joint Non-Lethal Weapons Technology Development",3,"Advanced Technology Development",1319,,2011,"CR.OCO",,,,,0,,,,
4748,"0901202F","Joint Personnel Recovery Agency",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4749,"0603860F","Joint Precision Approach and Landing Systems - Dem/Val",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4750,"0603860N","Joint Precision Approach and Landing Systems - Dem/Val",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4751,"0603709D8Z","Joint Robotics Program",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4752,"0604709D8Z","Joint Robotics Program - EMD",5,"System Development And Demonstration",400,,2011,"CR.OCO",,,,,0,,,,
4753,"0603711D8Z","Joint Robotics Program/Autonomous Systems",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4755,"0604654N","Joint Service Explosive Ordnance Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4756,"0603654N","Joint Service Explosive Ordnance Development",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,1650,,,,
4757,"0603607A","Joint Service Small Arms Program",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4758,"0602623A","Joint Service Small Arms Program",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4759,"0605452F","Joint SIAP Executive Program Office",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4762,"0303153K","Defense Spectrum Organization",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4764,"0204571J","Joint Staff Analytical Support",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4765,"0604727N","Joint Standoff Weapon Systems",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4768,"0604800F","F-35 - EMD",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4770,"0604800N","Joint Strike Fighter (JSF) - EMD",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4771,"0207581F","Joint Surveillance/Target Attack Radar System (JSTARS)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4772,"0102325F","Atmospheric Early Warning System",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4774,"0604875D8Z","Joint Systems Architecture Development",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4775,"0604787D8Z","Joint Systems Integration Command (JSIC)",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4777,"0208053A","Joint Tactical Ground System",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
4778,"0604771D8Z","Joint Tactical Information Distribution System (JTIDS)",5,"System Development And Demonstration",400,,2011,"CR.OCO",,,,,0,,,,
4780,"0604280A","Joint Tactical Radio",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4781,"0604280F","Joint Tactical Radio",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4783,"0604280N","Joint Tactical Radio System - Navy (JTRS-Navy)",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4784,"0605126J","Joint Integrated Air and Missile Defense Organization (JIAMDO)",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4786,"0604400D8Z","Department of Defense (DoD) Unmanned Aircraft System (UAS) Common Development",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
4792,"0603727D8Z","Joint Warfighting Program",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4793,"0603832D8Z","DoD Modeling and Simulation Management Office",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4794,"0301144K","Joint/Allied Coalition Information Sharing",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4796,"0305614F","JSPOC Mission System",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4798,"0401219F","KC-10s",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4802,"0401218F","KC-135s",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4803,"0303136G","Key Management Infrastructure (KMI)",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4804,"0603795N","Land Attack Technology",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4808,"0603619A","Landmine Warfare and Barrier - Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2011,"CR.OCO",,,,,0,,,,
4809,"0603606A","Landmine Warfare and Barrier Advanced Technology",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4810,"0604808A","Landmine Warfare/Barrier - Eng Dev",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4811,"0401134F","Large Aircraft IR Countermeasures (LAIRCM)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4812,"0604706F","Life Support Systems",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4813,"0604642A","Light Tactical Wheeled Vehicles",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4814,"0604610N","Lightweight Torpedo Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4816,"0602234D8Z","Lincoln Laboratory Research Program",2,"Applied Research",400,,2011,"CR.OCO",,,,,0,,,,
4818,"0603764N","LINK EVERGREEN",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
4819,"0603748N","LINK PLUMERIA",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
4821,"0603581N","Littoral Combat Ship (LCS)",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4822,"0605131OTE","Live Fire Test and Evaluation",6,"Management Support",460,,2011,"CR.OCO",,,,,0,,,,
4824,"0603804A","Logistics and Engineer Equipment - Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2011,"CR.OCO",,,,,0,,,,
4825,"0604804A","Logistics and Engineer Equipment - Eng Dev",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4826,"0708610F","Logistics Information Technology (LOGIT)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4827,"0708012F","Logistics Support Activities",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4828,"0708012S","Logistics Support Activities",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4830,"0303126K","Long-Haul Communications - DCS",7,"Operational System Development",400,,2011,"CR.OCO",,,,,25256,,,,
4832,"0604311N","LPD-17 Class Systems Integration",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4834,"0604759A","Major T&E Investment",6,"RDT&E Management Support",2040,,2011,"CR.OCO",,,,,0,,,,
4835,"0604759F","Major T&E Investment",6,"Management Support",3600,,2011,"CR.OCO",,,,,0,,,,
4836,"0604759N","Major T&E Investment",6,"Management Support",1319,,2011,"CR.OCO",,,,,0,,,,
4837,"0902298J","Management HQ - OJCS",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4838,"0605898A","Management HQ - R&D",6,"RDT&E Management Support",2040,,2011,"CR.OCO",,,,,0,,,,
4839,"0605898E","Management HQ - R&D",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4842,"0901598C","Management HQ - MDA",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
4844,"0605853N","Management, Technical & International Support",6,"Management Support",1319,,2011,"CR.OCO",,,,,0,,,,
4845,"0203740A","Maneuver Control System",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
4846,"0207136F","Manned Destructive Suppression",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4847,"0605625A","Manned Ground Vehicle",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4848,"0305207F","Manned Reconnaissance Systems",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4850,"0305207N","Manned Reconnaissance Systems",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
