"","Referenced.IDV.PIID","PIID","Modification.Number","Transaction.Number","freq"
"18086","GS30FR0005","GSRPNNCK9249","0",0,1
"18087","GS30FR0005","GSRPNNCK9289","0",0,1
"18088","GS30FR0005","GSRPNNCK9299","0",0,1
"18089","GS30FR0005","GSRPNNCK9319","0",0,1
"18090","GS30FR0005","GSRPNNCK9389","0",0,1
"18091","GS30FR0005","GSRPNNCK9399","0",0,1
"18092","GS30FR0006","GSRPNNCL3369","0",0,1
"18093","GS30FR0006","GSRPNNCL3399","0",0,1
"18094","GS30FR0006","GSRPNNCL3439","0",0,1
"18095","GS30FR0006","GSRPNNCL3549","0",0,1
"18096","GS30FR0006","GSRPNNCL3589","0",0,1
"18097","GS30FR0006","GSRPNNCL3649","0",0,1
"18098","GS30FR0006","GSRPNNCL3689","0",0,1
"18099","GS30FR0005","GSRPNNCL3699","0",0,1
"18100","GS30FR0005","GSRPNNCL3739","0",0,1
"18101","GS30FR0005","GSRPNNCL3789","0",0,1
"18102","GS30FR0005","GSRPNNCL3829","0",0,1
"18103","GS30FR0005","GSRPNNCL3839","0",0,1
"18104","GS30FR0005","GSRPNNCL3849","0",0,1
"18105","GS30FR0005","GSRPNNCL3859","0",0,1
"18106","GS30FR0005","GSRPNNCL3899","0",0,1
"18107","GS30FR0005","GSRPNNCL3929","0",0,1
"18108","GS30FR0005","GSRPNNCL3959","0",0,1
"18109","GS30FR0005","GSRPNNCL3979","0",0,1
"18110","GS30FR0005","GSRPNNCL4069","0",0,1
"18111","GS30FR0005","GSRPNNCL4119","0",0,1
"18112","GS30FR0005","GSRPNNCL4159","0",0,1
"18113","GS30FR0005","GSRPNNCL4169","0",0,1
"18114","GS30FR0005","GSRPNNCL4199","0",0,1
"18115","GS30FR0005","GSRPNNCL4209","0",0,1
"18116","GS30FR0005","GSRPNNCL4219","0",0,1
"18117","GS30FR0005","GSRPNNCL4229","0",0,1
"18118","GS30FR0005","GSRPNNCL4339","0",0,1
"18119","GS30FR0006","GSRPNNCL4399","0",0,1
"18120","GS30FR0006","GSRPNNCL4409","9170",0,1
"18121","GS30FR0006","GSRPNNCL4409","0",0,1
"18122","GS30FR0005","GSRPNNCL4439","0",0,1
"18123","GS30FR0005","GSRPNNCL4439","9163",0,1
"18124","GS30FR0005","GSRPNNCK9449","0",0,1
"18125","GS30FR0005","GSRPNNCK9489","0",0,1
"18126","GS30FR0005","GSRPNNCK9559","0",0,1
"18127","GS30FR0006","GSRPNNCK9609","0",0,1
"18128","GS30FR0006","GSRPNNCK9619","0",0,1
"18129","GS30FR0006","GSRPNNCK9639","0",0,1
"18130","GS30FR0006","GSRPNNCK9689","0",0,1
"18131","GS30FR0005","GSRPNNCK9709","0",0,1
"18132","GS30FR0006","GSRPNNCK9849","0",0,1
"18133","GS30FR0005","GSRPNNCK9869","0",0,1
"18134","GS30FR0006","GSRPNNCK9889","0",0,1
"18135","GS30FR0006","GSRPNNCK9899","0",0,1
"18136","GS30FR0006","GSRPNNCL0019","0",0,1
"18137","GS30FR0006","GSRPNNCL0029","0",0,1
"18138","GS30FR0006","GSRPNNCL0089","0",0,1
"18139","GS30FR0006","GSRPNNCL0099","0",0,1
"18140","GS30FR0006","GSRPNNCL4469","0",0,1
"18141","GS30FR0005","GSRPNNCL4519","0",0,1
"18142","GS30FR0006","GSRPNNCL4569","0",0,1
"18143","GS30FR0006","GSRPNNCL4589","0",0,1
"18144","GS30FR0006","GSRPNNCL4599","0",0,1
"18145","GS30FR0006","GSRPNNCL4639","0",0,1
"18146","GS30FR0006","GSRPNNCL4659","0",0,1
"18147","GS30FR0006","GSRPNNCL4679","0",0,1
"18148","GS30FR0006","GSRPNNCL4689","0",0,1
"18149","GS30FR0006","GSRPNNCL4729","0",0,1
"18150","GS30FR0006","GSRPNNCL4799","0",0,1
"18151","GS30FR0006","GSRPNNCL4819","0",0,1
"18152","GS30FR0006","GSRPNNCL4849","0",0,1
"18153","GS30FR0006","GSRPNNCL4869","0",0,1
"18154","GS30FR0006","GSRPNNCL4919","0",0,1
"18155","GS30FR0006","GSRPNNCL4939","0",0,1
"18156","GS30FR0006","GSRPNNCL0199","0",0,1
"18157","GS30FR0006","GSRPNNCL0219","0",0,1
"18158","GS30FR0006","GSRPNNCL0229","0",0,1
"18159","GS30FR0006","GSRPNNCL0239","0",0,1
"18160","GS30FR0006","GSRPNNCL0269","0",0,1
"18161","GS30FR0006","GSRPNNCL0279","0",0,1
"18162","GS30FR0006","GSRPNNCL0309","0",0,1
"18163","GS30FR0006","GSRPNNCL0329","0",0,1
"18164","GS30FR0006","GSRPNNCL0339","0",0,1
"18165","GS30FR0006","GSRPNNCL0369","0",0,1
"18166","GS30FR0006","GSRPNNCL0399","0",0,1
"18167","GS30FR0005","GSRPNNCL0439","0",0,1
"18168","GS30FR0005","GSRPNNCL0459","0",0,1
"18169","GS30FR0005","GSRPNNCL0489","0",0,1
"18170","GS30FR0005","GSRPNNCL0499","0",0,1
"18171","GS30FR0005","GSRPNNCL0539","0",0,1
"18172","GS30FR0006","GSRPNNCL0589","0",0,1
"18173","GS30FR0006","GSRPNNCL0609","0",0,1
"18174","GS30FR0005","GSRPNNCL0619","0",0,1
"18175","GS30FR0005","GSRPNNCL0689","0",0,1
