SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2001,NAVY,DDG 51,1987,PdE," 16,953.70 "," 20,117.50 ", 23.00 ," 32,116.40 "," 45,909.20 ", 41.00 ," 49,070.10 "," 66,026.70 ", 64.00 , 14.20 , 11.80 
12/1/2001,NAVY,E-2C REPRO,1994,PdE," 2,627.70 "," 3,187.90 ", 36.00 , 881.20 , 724.60 , 5.00 ," 3,508.90 "," 3,912.50 ", 41.00 , 19.90 , 10.30 
12/1/2001,NAVY,F/A-18 E/F,2000,PdE," 43,489.60 "," 46,825.70 ", 548.00 ," 1,800.10 "," 1,965.40 ", - ," 45,289.70 "," 48,791.10 ", 548.00 , 4.00 , 4.10 
12/1/2001,NAVY,JSOW,1990,DE," 6,927.20 "," 11,205.90 "," 23,924.00 "," (1,904.80)"," (4,132.70)"," (4,810.00)"," 5,022.40 "," 7,073.20 "," 19,114.00 ", (18.00), (28.20)
12/1/2001,NAVY,LHD 1,1982,DE," 2,931.80 "," 4,451.00 ", 3.00 ," 4,305.50 "," 5,320.00 ", 5.00 ," 7,237.30 "," 9,771.00 ", 8.00 , 1.10 , (14.30)
12/1/2001,NAVY,LPD 17,1996,DE," 9,018.10 "," 10,761.80 ", 12.00 ," 3,921.40 "," 4,618.90 ", - ," 12,939.50 "," 15,380.70 ", 12.00 , 43.50 , 42.10 
12/1/2001,NAVY,MH-60R,1993,DE," 4,020.50 "," 5,636.40 ", 188.00 ," 3,135.70 "," 3,760.50 ", 55.00 ," 7,156.20 "," 9,396.90 ", 243.00 , 52.00 , 43.10 
12/1/2001,NAVY,MH-60S,1998,DE," 2,769.00 "," 3,154.00 ", 166.00 ," 1,933.70 "," 2,233.50 ", 71.00 ," 4,702.70 "," 5,387.50 ", 237.00 , 27.20 , 25.00 
12/1/2001,NAVY,MIDS-LVT,1992,DE, 924.90 ," 1,119.50 ", 672.00 , 446.50 , 502.20 ," 1,990.00 "," 1,371.40 "," 1,621.70 "," 2,662.00 ", 6.40 , 2.10 
12/1/2001,NAVY,NESP,1990,PdE," 1,876.60 "," 2,373.70 ", 393.00 , (129.30), (380.40), 103.00 ," 1,747.30 "," 1,993.30 ", 496.00 , (13.70), (21.80)
12/1/2001,NAVY,SSN 774 (VA CLASS),1995,DE," 45,633.10 "," 71,080.80 ", 30.00 ," 12,836.60 "," 2,359.30 ", - ," 58,469.70 "," 73,440.10 ", 30.00 , 28.10 , 3.30 
