SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
9/1/2008,ARMY,APACHE BLOCK III (AB3),2006,DE," 6,553.00 "," 8,093.90 ", 602.00 , 605.40 , 902.50 , 37.00 ," 7,158.40 "," 8,996.40 ", 639.00 , 4.90 , 6.00 
9/1/2008,ARMY,ARH,2005,DE," 3,149.10 "," 3,568.70 ", 368.00 ," (2,647.40)"," (3,032.00)", (368.00), 501.70 , 536.70 , - , (60.10), (56.90)
9/1/2008,ARMY,ATIRCM/CMWS,2003,PdE," 2,795.70 "," 3,240.60 "," 2,668.00 "," 1,374.10 "," 1,575.30 ", 921.00 ," 4,169.80 "," 4,815.90 "," 3,589.00 ", 1.80 , (4.50)
9/1/2008,ARMY,BLACK HAWK UPGRADE (UH-60M),2005,PdE," 16,801.70 "," 20,847.10 "," 1,235.00 "," 2,133.50 "," 3,195.60 ", - ," 18,935.20 "," 24,042.70 "," 1,235.00 ", 12.70 , 15.30 
9/1/2008,ARMY,BRADLEY UPGRADE,2001,PdE," 3,724.20 "," 3,859.80 ", 926.00 ," 4,845.60 "," 5,835.40 "," 1,642.00 "," 8,569.80 "," 9,695.20 "," 2,568.00 ", 5.20 , 2.50 
9/1/2008,ARMY,CH-47F,2005,PdE," 10,614.80 "," 12,147.40 ", 512.00 , 900.80 ," 1,202.90 ", 1.00 ," 11,515.60 "," 13,350.30 ", 513.00 , 8.30 , 9.70 
9/1/2008,ARMY,EXCALIBUR,2007,PdE," 2,264.60 "," 2,518.70 "," 30,388.00 ", (32.10), (53.60), - ," 2,232.50 "," 2,465.10 "," 30,388.00 ", (1.40), (2.10)
9/1/2008,ARMY,FBCB2,2005,PdE," 1,579.90 "," 1,556.70 "," 22,248.00 "," 1,965.10 "," 2,172.20 "," 58,170.00 "," 3,545.00 "," 3,728.90 "," 80,418.00 ", 32.30 , 34.30 
9/1/2008,ARMY,FCS,2003,DE," 77,800.00 "," 92,200.00 ", 15.00 ," 34,624.50 "," 67,120.20 ", - ," 112,424.50 "," 159,320.20 ", 15.00 , 44.50 , 72.80 
9/1/2008,ARMY,FMTV,1996,PdE," 11,594.20 "," 18,921.30 "," 85,488.00 "," 4,922.40 "," 1,755.10 "," (2,303.00)"," 16,516.60 "," 20,676.40 "," 83,185.00 ", 43.70 , 12.80 
9/1/2008,ARMY,GMLRS,2003,PdE," 9,780.20 "," 11,848.90 "," 140,239.00 "," (5,062.50)"," (5,840.60)"," (96,444.00)"," 4,717.70 "," 6,008.30 "," 43,795.00 ", 22.50 , 105.30 
9/1/2008,ARMY,HIMARS,2003,PdE," 3,711.60 "," 4,388.40 ", 894.00 ," (1,914.40)"," (2,339.40)", (513.00)," 1,797.20 "," 2,049.00 ", 381.00 , (11.10), (0.30)
9/1/2008,ARMY,JCA,2007,PdE," 3,635.20 "," 4,087.80 ", 78.00 , - , - , - ," 3,635.20 "," 4,087.80 ", 78.00 , -   , -   
9/1/2008,ARMY,JLENS,2005,DE," 5,850.00 "," 7,151.00 ", 16.00 , 238.60 , 349.30 , - ," 6,088.60 "," 7,500.30 ", 16.00 , 4.10 , 4.90 
9/1/2008,ARMY,LONGBOW APACHE,1996,PdE," 5,690.60 "," 7,027.80 ", 758.00 ," 4,135.40 "," 4,155.20 ", (87.00)," 9,826.00 "," 11,183.00 ", 671.00 , 67.40 , 55.30 
