SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2003,ARMY,ABRAMS UPGRADE,1995,PdE," 6,991.90 "," 7,961.90 "," 1,060.00 ", 449.40 , (167.70), 95.00 ," 7,441.30 "," 7,794.20 "," 1,155.00 ", 22.90 , 18.90 
12/1/2003,ARMY,ATIRCM/CMWS,2003,DE/PdE," 2,891.40 "," 3,361.60 "," 3,094.00 ", (95.70), (63.50), (426.00)," 2,795.70 "," 3,298.10 "," 2,668.00 ", 24.80 , 39.50 
12/1/2003,ARMY,BLACK HAWK UPGRADE,2001,DE," 10,663.00 "," 14,662.00 "," 1,221.00 ", 674.40 , 222.50 , - ," 11,337.40 "," 14,884.50 "," 1,221.00 ", 6.00 , 1.40 
12/1/2003,ARMY,BRADLEY UPGRADE,2001,PdE," 3,724.20 "," 3,859.80 ", 926.00 ," (1,012.30)"," (1,148.20)", (331.00)," 2,711.90 "," 2,711.60 ", 595.00 , (3.60), (4.50)
12/1/2003,ARMY,CH-47F,1997,DE," 2,523.60 "," 3,115.40 ", 302.00 ," 3,311.20 "," 4,067.10 ", 37.00 ," 5,834.80 "," 7,182.50 ", 339.00 , 111.70 , 108.80 
12/1/2003,ARMY,COMANCHE,2000,DE," 37,936.10 "," 48,134.30 "," 1,213.00 "," (4,441.30)"," (8,815.20)", (563.00)," 33,494.80 "," 39,319.10 ", 650.00 , 15.10 , 11.00 
12/1/2003,ARMY,EXCALIBUR,2003,DE," 3,997.70 "," 4,798.70 "," 76,677.00 ", (659.10), (855.80)," (14,925.00)"," 3,338.60 "," 3,942.90 "," 61,752.00 ", 5.30 , 5.40 
12/1/2003,ARMY,FBCB2,2000,DE," 2,281.00 "," 2,617.90 "," 59,522.00 ", (776.80)," (1,036.00)"," (38,468.00)"," 1,504.20 "," 1,581.90 "," 21,054.00 ", 1.90 , 0.50 
12/1/2003,ARMY,FCS,2003,DE," 77,800.00 "," 92,200.00 ", 15.00 , (63.80), 400.90 , - ," 77,736.20 "," 92,600.90 ", 15.00 , (0.10), 0.40 
12/1/2003,ARMY,FMTV,1996,PdE," 11,594.20 "," 18,921.30 "," 85,488.00 "," 2,736.50 ", (712.10)," (2,303.00)"," 14,330.70 "," 18,209.20 "," 83,185.00 ", 24.60 , (0.60)
12/1/2003,ARMY,GMLRS,2003,PdE," 9,780.20 "," 11,848.90 "," 140,239.00 ", 237.60 , 400.00 , - ," 10,017.80 "," 12,248.90 "," 140,239.00 ", 2.40 , 3.40 
12/1/2003,ARMY,HIMARS,2003,PdE," 3,711.60 "," 4,388.40 ", 894.00 , 143.30 , 252.90 , - ," 3,854.90 "," 4,641.30 ", 894.00 , 3.90 , 5.80 
12/1/2003,ARMY,JAVELIN,1997,PdE," 3,791.10 "," 3,926.00 "," 28,501.00 ", 240.00 , 153.90 ," (5,099.00)"," 4,031.10 "," 4,079.90 "," 23,402.00 ", 6.00 , 5.10 
12/1/2003,ARMY,JTRS CLUSTER 1,2002,DE," 14,437.20 "," 19,112.90 "," 108,388.00 ", 580.60 ," 1,409.50 ", 614.00 ," 15,017.80 "," 20,522.40 "," 109,002.00 ", 3.40 , 6.80 
12/1/2003,ARMY,LAND WARRIOR,2003,DE," 2,451.50 "," 2,844.40 "," 15,985.00 "," 6,511.10 "," 9,468.80 "," 43,053.00 "," 8,962.60 "," 12,313.20 "," 59,038.00 ", 9.80 , 9.10 
12/1/2003,ARMY,LONGBOW APACHE,1996,PdE," 7,389.70 "," 8,729.20 ", 985.00 ," 1,224.30 ", 372.50 , (257.00)," 8,614.00 "," 9,101.70 ", 728.00 , 45.90 , 32.80 
12/1/2003,ARMY,LONGBOW HELLFIRE,1996,PdE," 2,352.00 "," 2,635.60 "," 13,311.00 ", 46.80 , (126.30), (406.00)," 2,398.80 "," 2,509.30 "," 12,905.00 ", 3.80 , (2.80)
12/1/2003,ARMY,MCS,1980,DE, 106.90 , 232.10 , 947.00 , 206.90 , 409.60 ," 3,695.00 ", 313.80 , 641.70 ," 4,642.00 ", (63.60), (69.20)
12/1/2003,ARMY,PATRIOT PAC-3,2002,PdE," 12,598.00 "," 12,607.00 "," 1,199.00 ", 130.60 , 134.40 , 104.00 ," 12,728.60 "," 12,741.40 "," 1,303.00 ", (1.10), (1.40)
12/1/2003,ARMY,STRYKER,2004,DE/PdE," 6,803.90 "," 7,120.20 "," 2,131.00 "," 1,583.50 "," 1,538.50 ", (35.00)," 8,387.40 "," 8,658.70 "," 2,096.00 ", 24.80 , 23.30 
12/1/2003,ARMY,WIN-T,2003,DE," 9,864.90 "," 12,040.50 ", 1.00 , 235.80 , 410.30 , - ," 10,100.70 "," 12,450.80 ", 1.00 , 2.40 , 3.40 
12/1/2003,ARMY,Army Subtotal,,," 233,690.10 "," 285,118.10 ",," 11,263.00 "," 6,316.10 ",," 244,953.10 "," 291,434.20 ",, 8.30 , 5.70 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2003,NAVY,AESA (RDT&E),2000,DE, 494.80 , 525.20 , - , 74.50 , 73.90 , - , 569.30 , 599.10 , - , 15.10 , 14.10 
12/1/2003,NAVY,AGM-88E (AARGM),2003,," 1,339.80 "," 1,510.90 "," 1,790.00 ", 50.30 , 19.30 , - ," 1,390.10 "," 1,530.20 "," 1,790.00 ", 3.80 , 1.30 
12/1/2003,NAVY,AIM-9X,1997,DE," 2,464.00 "," 3,232.90 "," 10,049.00 ", 62.90 , (191.70), 93.00 ," 2,526.90 "," 3,041.20 "," 10,142.00 ", 2.00 , (6.50)
12/1/2003,NAVY,ASDS,2003,DE," 1,837.90 "," 1,969.30 ", 6.00 , (9.20), (12.60), - ," 1,828.70 "," 1,956.70 ", 6.00 , (0.50), (0.60)
12/1/2003,NAVY,CEC,2002,PdE," 4,123.30 "," 4,310.70 ", 272.00 , 126.50 , 116.10 , 7.00 ," 4,249.80 "," 4,426.80 ", 279.00 , 2.60 , 1.40 
12/1/2003,NAVY,CVN 21 (RDT&E Only),2000,PE," 3,159.80 "," 3,587.60 ", - , 144.10 , 18.20 , - ," 3,303.90 "," 3,605.80 ", - , 4.60 , 0.50 
12/1/2003,NAVY,CVN-68,1995,PdE," 4,557.10 "," 5,540.80 ", 1.00 , 362.80 , (29.20), - ," 4,919.90 "," 5,511.60 ", 1.00 , 8.00 , (0.50)
12/1/2003,NAVY,DD(X) (RDT&E Only),1996,PE," 1,754.00 "," 2,089.00 ", - ," 7,319.40 "," 8,224.70 ", 1.00 ," 9,073.40 "," 10,313.70 ", 1.00 , 134.20 , 122.40 
