SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
9/1/2005,ARMY,ACS,2003,DE,3857,4546,38,-41,79,0,3816,4625,38,-1%,2%
9/1/2005,ARMY,LAND WARRIOR,2003,DE,"2,451.50","2,844.40","15,985","6,288.10","10,090.10","69,427","8,739.60","12,934.50","85,412",-0.047,0.01
