SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2004,ARMY,ACS,2003,DE," 3,857.00 "," 4,546.00 ", 38.00 , (41.30), 79.10 , - ," 3,815.70 "," 4,625.10 ", 38.00 , (1.10), 1.70 
12/1/2004,ARMY,ATIRCM/CMWS,2003,PdE," 2,795.70 "," 3,240.60 "," 2,668.00 "," 1,262.50 "," 1,476.40 ", - ," 4,058.20 "," 4,717.00 "," 2,668.00 ", 45.20 , 45.60 
12/1/2004,ARMY,BLACK HAWK UPGRADE,2005,DE/PdE," 11,294.30 "," 14,662.00 "," 1,221.00 "," 5,507.40 "," 6,185.10 ", 14.00 ," 16,801.70 "," 20,847.10 "," 1,235.00 ", 46.00 , 40.20 
12/1/2004,ARMY,BRADLEY UPGRADE,2001,PdE," 3,724.20 "," 3,859.80 ", 926.00 ," (1,037.80)"," (1,167.90)", (331.00)," 2,686.40 "," 2,691.90 ", 595.00 , (4.50), (5.20)
12/1/2004,ARMY,CH-47F,2005,DE/PdE," 2,762.50 "," 3,115.40 ", 302.00 ," 7,858.10 "," 9,241.00 ", 210.00 ," 10,620.60 "," 12,356.40 ", 512.00 , 90.60 , 81.20 
12/1/2004,ARMY,EXCALIBUR,2003,DE," 3,997.70 "," 4,798.70 "," 76,677.00 "," (2,120.60)"," (2,547.90)"," (46,408.00)"," 1,877.10 "," 2,250.80 "," 30,269.00 ", 5.00 , 20.90 
12/1/2004,ARMY,FBCB2,2005,DE/PdE," 2,459.50 "," 2,617.90 "," 59,522.00 ", (647.80), (816.00)," (31,694.00)"," 1,811.70 "," 1,801.90 "," 27,828.00 ", 5.10 , 5.00 
12/1/2004,ARMY,FCS,2003,DE," 77,800.00 "," 92,200.00 ", 15.00 , 492.00 ," 6,678.60 ", - ," 78,292.00 "," 98,878.60 ", 15.00 , 0.60 , 7.20 
12/1/2004,ARMY,FMTV,1996,PdE," 11,594.20 "," 18,921.30 "," 85,488.00 "," 2,328.60 ", (868.00)," (2,303.00)"," 13,922.80 "," 18,053.30 "," 83,185.00 ", 21.10 , (1.50)
12/1/2004,ARMY,GMLRS,2003,PdE," 9,780.20 "," 11,848.90 "," 140,239.00 ", 828.40 ," 1,821.60 ", - ," 10,608.60 "," 13,670.50 "," 140,239.00 ", 8.50 , 15.40 
12/1/2004,ARMY,HIMARS,2003,PdE," 3,711.60 "," 4,388.40 ", 894.00 , 78.10 , 284.60 , - ," 3,789.70 "," 4,673.00 ", 894.00 , 2.10 , 6.50 
12/1/2004,ARMY,JAVELIN,1997,PdE," 3,791.10 "," 3,926.00 "," 28,501.00 ", 347.30 , 297.50 ," (3,809.00)"," 4,138.40 "," 4,223.50 "," 24,692.00 ", 6.60 , 6.10 
12/1/2004,ARMY,JCM,2004,DE," 6,771.00 "," 8,141.30 "," 48,815.00 "," (6,485.80)"," (7,848.00)"," (48,815.00)", 285.20 , 293.30 , - , (70.60), (71.10)
12/1/2004,ARMY,JTRS CLUSTER 1,2002,DE," 14,437.20 "," 19,112.90 "," 108,388.00 ", 694.90 ," 2,519.40 "," 1,533.00 "," 15,132.10 "," 21,632.30 "," 109,921.00 ", 3.10 , 11.50 
