SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2006,ARMY,HIMARS,2003,PdE ," 3,711.60 "," 4,388.40 ", 894.00 ," (1,889.20)"," (2,299.70)", (513.00)," 1,822.40 "," 2,088.70 ", 381.00 , (9.90), 1.60 
12/1/2006,ARMY,JAVELIN,1997,PdE ," 3,791.10 "," 3,926.00 "," 28,501.00 ", 564.40 , 573.30 ," (3,382.00)"," 4,355.50 "," 4,499.30 "," 25,119.00 ", 9.10 , 9.50 
12/1/2006,ARMY,JLENS,2005,DE ," 5,850.00 "," 7,151.00 ", 16.00 , 79.80 , 216.30 , - ," 5,929.80 "," 7,367.30 ", 16.00 , 1.40 , 3.00 
12/1/2006,ARMY,LAND WARRIOR,2003,DE ," 2,451.50 "," 2,844.40 "," 15,985.00 "," (1,792.30)"," (2,173.00)"," (15,545.00)", 659.20 , 671.40 , 440.00 , (90.40), (92.90)
12/1/2006,ARMY,LB APACHE BLOCK III,2006,DE ," 6,553.00 "," 8,093.90 ", 602.00 , 564.80 , 896.50 , 37.00 ," 7,117.80 "," 8,990.40 ", 639.00 , 4.30 , 5.90 
12/1/2006,ARMY,LONGBOW APACHE,1996,PdE ," 5,690.60 "," 7,027.80 ", 758.00 ," 4,002.60 "," 4,007.00 ", (92.00)," 9,693.20 "," 11,034.80 ", 666.00 , 67.70 , 55.60 
12/1/2006,ARMY,LUH,1996,PdE ," 1,638.30 "," 1,883.00 ", 322.00 , 9.60 , (1.20), - ," 1,647.90 "," 1,881.80 ", 322.00 , 0.60 , (0.10)
12/1/2006,ARMY,PATRIOT PAC-3,2002,PdE ," 9,084.00 "," 9,205.80 "," 1,159.00 ", (709.40), (684.10), (190.00)," 8,374.60 "," 8,521.70 ", 969.00 , (2.90), (1.40)
12/1/2006,ARMY,PATRIOT/MEADS CAP,2004,DE ," 22,751.40 "," 29,895.40 "," 1,576.00 ", (927.10), 282.20 , - ," 21,824.30 "," 30,177.60 "," 1,576.00 ", (4.10), 0.90 
12/1/2006,ARMY,STRYKER,2004,PdE ," 8,276.90 "," 8,534.70 "," 2,096.00 "," 3,717.90 "," 4,596.20 ", 801.00 ," 11,994.80 "," 13,130.90 "," 2,897.00 ", 14.80 , 19.30 
12/1/2006,ARMY,WIN-T,2003,DE," 9,864.90 "," 12,040.50 ", 1.00 ," 1,879.00 "," 4,320.90 ", - ," 11,743.90 "," 16,361.40 ", 1.00 , 19.00 , 35.90 
12/1/2006,ARMY,Army Subtotal,,," 221,500.80 "," 267,980.10 ",," 49,878.30 "," 88,860.20 ",," 271,379.10 "," 356,840.30 ",, 20.80 , 24.00 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2006,NAVY,ADS,2005,DE," 1,337.00 "," 1,431.70 ", 16.00 , (761.40), (902.90), (16.00), 575.60 , 528.80 , - , (34.00), (38.90)
12/1/2006,NAVY,AGM-88E (AARGM),2003,DE," 1,339.80 "," 1,510.90 "," 1,790.00 ", 75.70 , 180.40 , 129.00 ," 1,415.50 "," 1,691.30 "," 1,919.00 ", 2.30 , 7.70 
12/1/2006,NAVY,AIM-9X,1997,PdE," 2,464.00 "," 3,232.90 "," 10,049.00 ", 180.90 , 155.10 , 93.00 ," 2,644.90 "," 3,388.00 "," 10,142.00 ", 6.80 , 4.20 
12/1/2006,NAVY,CEC,2002,PdE," 4,123.30 "," 4,310.70 ", 272.00 , 26.60 , 138.00 , (1.00)," 4,149.90 "," 4,448.70 ", 271.00 , 3.60 , 7.30 
12/1/2006,NAVY,CH-53K (HLR),2006,DE," 14,980.90 "," 18,766.30 ", 156.00 , 94.40 , 124.10 , - ," 15,075.30 "," 18,890.40 ", 156.00 , 0.60 , 0.70 
12/1/2006,NAVY,COBRA JUDY,2003,DE," 1,365.00 "," 1,464.00 ", 1.00 , (4.40), 56.50 , - ," 1,360.60 "," 1,520.50 ", 1.00 , (0.30), 3.90 
12/1/2006,NAVY,CVN 21,2000,DE," 28,701.20 "," 36,082.10 ", 3.00 ," (3,440.60)"," (1,053.40)", - ," 25,260.60 "," 35,028.70 ", 3.00 , (12.00), (2.90)
12/1/2006,NAVY,CVN 68,1995,PdE," 4,557.10 "," 5,540.80 ", 1.00 , 729.60 , 699.40 , - ," 5,286.70 "," 6,240.20 ", 1.00 , 16.00 , 12.60 
12/1/2006,NAVY,DDG 1000 (DD(X)),2005,DE," 31,547.90 "," 36,296.30 ", 10.00 , (981.50), (274.20), - ," 30,566.40 "," 36,022.10 ", 10.00 , (3.10), (0.80)
12/1/2006,NAVY,DDG 51,1987,PdE," 16,953.70 "," 20,117.50 ", 23.00 ," 29,542.20 "," 42,635.40 ", 39.00 ," 46,495.90 "," 62,752.90 ", 62.00 , 11.60 , 10.00 
12/1/2006,NAVY,E-2C REPRODUCTION,1994,PdE," 2,627.70 "," 3,187.90 ", 36.00 ," 1,237.80 "," 1,170.40 ", 8.00 ," 3,865.50 "," 4,358.30 ", 44.00 , 24.50 , 15.70 
12/1/2006,NAVY,E-2D AHE,2002,DE," 12,225.00 "," 14,982.00 ", 75.00 ," 1,141.20 "," 2,505.00 ", - ," 13,366.20 "," 17,487.00 ", 75.00 , 9.30 , 16.70 
12/1/2006,NAVY,EA-18G,2004,DE," 7,662.60 "," 8,421.60 ", 90.00 , (356.40), (53.60), (10.00)," 7,306.20 "," 8,368.00 ", 80.00 , 3.60 , 9.00 
12/1/2006,NAVY,EFV,1993,DE," 6,650.40 "," 8,725.20 "," 1,025.00 "," 1,526.90 "," 3,177.50 ", (433.00)," 8,177.30 "," 11,902.70 ", 592.00 , 70.60 , 106.40 
12/1/2006,NAVY,F/A-18E/F,2000,PdE," 38,884.70 "," 41,637.30 ", 458.00 ," 4,511.90 "," 4,751.50 ", 36.00 ," 43,396.60 "," 46,388.80 ", 494.00 , 7.30 , 6.50 
12/1/2006,NAVY,H-1 UPGRADES,1996,DE," 2,792.50 "," 3,547.50 ", 284.00 ," 3,902.00 "," 5,159.00 ", - ," 6,694.50 "," 8,706.50 ", 284.00 , 139.70 , 145.40 
12/1/2006,NAVY,JSOW,1990,PdE," 5,544.10 "," 7,873.50 "," 23,124.00 "," (2,291.00)"," (3,261.60)"," (12,790.00)"," 3,253.10 "," 4,611.90 "," 10,334.00 ", (6.60), (1.20)
12/1/2006,NAVY,LCS (RDT&E),2004,PE," 1,172.70 "," 1,211.70 ", 2.00 , 619.10 , 727.20 , - ," 1,791.80 "," 1,938.90 ", 2.00 , 52.80 , 60.00 
12/1/2006,NAVY,LHA REPLACEMENT,2006,DE," 2,877.40 "," 3,093.50 ", 1.00 , (27.90), (14.60), - ," 2,849.50 "," 3,078.90 ", 1.00 , (1.00), (0.50)
12/1/2006,NAVY,LPD 17,1996,DE," 9,018.10 "," 10,761.80 ", 12.00 ," 2,085.30 "," 2,832.20 ", (3.00)," 11,103.40 "," 13,594.00 ", 9.00 , 85.30 , 102.20 
12/1/2006,NAVY,MH-60R,2006,PdE," 10,627.00 "," 11,424.70 ", 254.00 , 225.60 , 277.00 , - ," 10,852.60 "," 11,701.70 ", 254.00 , 2.10 , 2.40 
12/1/2006,NAVY,MH-60S,1998,PdE," 5,270.10 "," 6,093.80 ", 237.00 ," 1,267.90 "," 1,815.80 ", 30.00 ," 6,538.00 "," 7,909.60 ", 267.00 , 14.20 , 18.00 
12/1/2006,NAVY,MUOS,2004,DE," 5,738.00 "," 6,481.10 ", 6.00 , (352.10), (108.20), - ," 5,385.90 "," 6,372.90 ", 6.00 , (6.10), (1.70)
12/1/2006,NAVY,P-8A (MMA),2004,DE," 26,494.00 "," 31,428.60 ", 115.00 , (629.40)," 1,244.00 ", (1.00)," 25,864.60 "," 32,672.60 ", 114.00 , (2.40), 4.00 
12/1/2006,NAVY,SM-6,2004,DE," 4,866.30 "," 5,983.30 "," 1,200.00 ", (205.80), (25.60), - ," 4,660.50 "," 5,957.70 "," 1,200.00 ", (4.20), (0.40)
12/1/2006,NAVY,SSDS,2004,PdE," 1,059.00 "," 1,098.20 ", 29.00 , 31.70 , 114.90 , 25.00 ," 1,090.70 "," 1,213.10 ", 54.00 , (11.60), (8.20)
12/1/2006,NAVY,SSGN (OHIO CLASS),2002,PdE," 3,869.10 "," 4,051.90 ", 4.00 , (11.80), 43.30 , - ," 3,857.30 "," 4,095.20 ", 4.00 , (0.30), 1.10 
12/1/2006,NAVY,SSN 774 (VA CLASS),1995,DE," 45,633.10 "," 71,080.80 ", 30.00 ," 18,953.60 "," 21,927.40 ", - ," 64,586.70 "," 93,008.20 ", 30.00 , 41.50 , 30.80 
12/1/2006,NAVY,T-45TS,1995,PdE," 5,528.10 "," 5,599.50 ", 176.00 ," 1,204.80 "," 1,226.10 ", 49.00 ," 6,732.90 "," 6,825.60 ", 225.00 , 5.40 , 4.30 
12/1/2006,NAVY,T-AKE,2000,PdE," 4,262.60 "," 4,890.20 ", 12.00 , (406.10), (261.40), (1.00)," 3,856.50 "," 4,628.80 ", 11.00 , (2.00), 3.10 
12/1/2006,NAVY,TACTICAL TOMAHAWK,1999,PdE," 2,977.30 "," 3,290.30 "," 2,790.00 ", 841.70 ," 1,249.10 ", 746.00 ," 3,819.00 "," 4,539.40 "," 3,536.00 ", 12.90 , 18.00 
12/1/2006,NAVY,TRIDENT II MSL,1983,PdE," 26,556.30 "," 35,518.50 ", 845.00 , (130.90)," 3,383.40 ", (284.00)," 26,425.40 "," 38,901.90 ", 561.00 , 17.00 , 35.10 
12/1/2006,NAVY,V-22,2005,PdE," 50,250.40 "," 53,253.40 ", 458.00 , 360.10 ," 1,383.40 ", - ," 50,610.50 "," 54,636.80 ", 458.00 , 0.70 , 2.60 
12/1/2006,NAVY,VH-71,2003,DE," 5,653.60 "," 6,547.30 ", 23.00 , (400.90), (402.50), 5.00 ," 5,252.70 "," 6,144.80 ", 28.00 , (12.50), (12.20)
12/1/2006,NAVY,Navy Subtotal,,," 395,610.00 "," 478,936.80 ",," 58,558.80 "," 90,618.10 ",," 454,168.80 "," 569,554.90 ",, 10.10 , 11.30 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2006,AIR FORCE,AEHF,2002,DE," 5,279.20 "," 5,645.30 ", 5.00 , 669.60 , 776.20 , (2.00)," 5,948.80 "," 6,421.50 ", 3.00 , 34.30 , 37.30 
12/1/2006,AIR FORCE,AMRAAM,1992,PdE," 12,278.20 "," 13,112.40 "," 15,450.00 ", 766.90 ," 1,679.50 "," (1,241.00)"," 13,045.10 "," 14,791.90 "," 14,209.00 ", 15.30 , 28.40 
12/1/2006,AIR FORCE,B-2 RMP,2004,DE," 1,148.40 "," 1,220.00 ", 21.00 , (130.40), (90.50), - ," 1,018.00 "," 1,129.50 ", 21.00 , (11.40), (7.40)
12/1/2006,AIR FORCE,C-130 AMP,2000,DE," 3,333.90 "," 3,965.40 ", 519.00 ," 1,300.70 "," 2,015.60 ", (251.00)," 4,634.60 "," 5,981.00 ", 268.00 , 70.80 , 93.40 
12/1/2006,AIR FORCE,C-130J,1996,DE, 730.70 , 839.70 , 11.00 ," 6,188.00 "," 7,231.40 ", 71.00 ," 6,918.70 "," 8,071.10 ", 82.00 , 29.80 , 28.30 
12/1/2006,AIR FORCE,C-17A,1996,PdE," 41,250.90 "," 41,811.90 ", 210.00 ," 17,537.90 "," 20,650.70 ", (20.00)," 58,788.80 "," 62,462.60 ", 190.00 , 45.40 , 55.50 
12/1/2006,AIR FORCE,C-5 AMP,2006,PdE, 888.40 , 856.30 , 61.00 , 493.50 , 554.20 , 51.00 ," 1,381.90 "," 1,410.50 ", 112.00 , 20.60 , 22.90 
12/1/2006,AIR FORCE,C-5 RERP,2000,DE," 8,798.00 "," 11,093.90 ", 126.00 , (167.30), 244.00 , (15.00)," 8,630.70 "," 11,337.90 ", 111.00 , 4.30 , 8.80 
12/1/2006,AIR FORCE,EELV,1995,DE," 13,116.60 "," 17,347.80 ", 181.00 ," 12,543.70 "," 18,381.10 ", (43.00)," 25,660.30 "," 35,728.90 ", 138.00 , 188.50 , 214.20 
12/1/2006,AIR FORCE,F-22A,2005,PdE," 64,281.70 "," 61,323.70 ", 181.00 ," 3,365.90 "," 3,969.00 ", 3.00 ," 67,647.60 "," 65,292.70 ", 184.00 , 4.70 , 5.80 
12/1/2006,AIR FORCE,GBS,1997,DE, 451.40 , 497.10 , 346.00 , 315.60 , 358.20 , 708.00 , 767.00 , 855.30 ," 1,054.00 ", 13.70 , 13.60 
12/1/2006,AIR FORCE,GLOBAL HAWK,2000,DE," 4,350.30 "," 5,394.00 ", 63.00 ," 3,804.70 "," 4,404.00 ", (9.00)," 8,155.00 "," 9,798.00 ", 54.00 , 102.40 , 99.70 
12/1/2006,AIR FORCE,JASSM,1995,PdE," 4,016.40 "," 4,981.10 "," 5,447.00 ", 280.70 , 815.20 , (441.00)," 4,297.10 "," 5,796.30 "," 5,006.00 ", 13.50 , 24.40 
12/1/2006,AIR FORCE,JDAM,1995,PdE," 2,300.30 "," 2,606.70 "," 89,065.00 "," 2,249.10 "," 2,694.80 "," 115,489.00 "," 4,549.40 "," 5,301.50 "," 204,554.00 ", 27.40 , 28.60 
12/1/2006,AIR FORCE,JPATS,2002,PdE," 4,529.00 "," 5,041.10 ", 783.00 , 383.10 , 495.40 , (15.00)," 4,912.10 "," 5,536.50 ", 768.00 , 9.90 , 11.50 
12/1/2006,AIR FORCE,MINUTEMAN III GRP,1993,PdE," 2,012.50 "," 2,400.10 ", 652.00 , 100.10 , 35.50 , - ," 2,112.60 "," 2,435.60 ", 652.00 , 6.80 , 3.10 
12/1/2006,AIR FORCE,MINUTEMAN III PRP,1994,PdE," 2,086.80 "," 2,600.80 ", 607.00 , 132.50 , 18.90 , (6.00)," 2,219.30 "," 2,619.70 ", 601.00 , 6.90 , 1.20 
12/1/2006,AIR FORCE,MP RTIP,2000,DE," 1,449.30 "," 1,568.40 ", - , (323.40), (330.40), - ," 1,125.90 "," 1,238.00 ", - , (22.30), (21.10)
12/1/2006,AIR FORCE,MPS,2004,DE," 1,545.80 "," 1,690.70 ", 1.00 , (150.10), (101.20), - ," 1,395.70 "," 1,589.50 ", 1.00 , (9.70), (6.00)
12/1/2006,AIR FORCE,NAS,2005,PdE," 1,373.20 "," 1,421.10 ", 93.00 , 23.40 , 42.40 , (2.00)," 1,396.60 "," 1,463.50 ", 91.00 , 2.80 , 4.30 
12/1/2006,AIR FORCE,NAVSTAR GPS,2000,PdE," 5,813.40 "," 5,995.30 ", 33.00 ," 1,410.30 "," 1,729.60 ", - ," 7,223.70 "," 7,724.90 ", 33.00 , 23.80 , 28.90 
12/1/2006,AIR FORCE,NPOESS,2002,PdE," 5,538.00 "," 6,117.60 ", 6.00 ," 3,806.80 "," 5,043.00 ", (2.00)," 9,344.80 "," 11,160.60 ", 4.00 , 83.00 , 102.10 
12/1/2006,AIR FORCE,SBIRS HIGH,1995,DE," 3,679.50 "," 4,147.30 ", 5.00 ," 4,643.40 "," 5,732.20 ", (2.00)," 8,322.90 "," 9,879.50 ", 3.00 , 194.00 , 226.40 
12/1/2006,AIR FORCE,SDB,2001,PdE," 1,526.00 "," 1,786.30 "," 24,070.00 ", (272.90), (302.60), - ," 1,253.10 "," 1,483.70 "," 24,070.00 ", (17.90), (16.90)
12/1/2006,AIR FORCE,WIDEBAND GAPFILLER,2001,PdE, 980.40 ," 1,042.50 ", 3.00 , 777.60 , 901.30 , 2.00 ," 1,758.00 "," 1,943.80 ", 5.00 , 14.10 , 15.90 
12/1/2006,AIR FORCE,Air Force Subtotal,,," 192,758.30 "," 204,506.50 ",," 59,749.40 "," 76,947.50 ",," 252,507.70 "," 281,454.00 ",, 32.80 , 30.00 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2006,DoD,BMDS,2002,PE," 44,740.10 "," 47,217.10 ", - ," 44,996.10 "," 56,071.00 ", - ," 89,736.20 "," 103,288.10 ", - , 100.60 , 118.80 
12/1/2006,DoD,CHEM DEMIL-ACWA,1994,PdE," 1,957.40 "," 2,430.40 "," 3,134.00 "," 3,439.10 "," 5,519.90 ", 2.00 ," 5,396.50 "," 7,950.30 "," 3,136.00 ", 175.70 , 227.10 
12/1/2006,DoD,CHEM DEMIL-CMA,1994,PdE," 11,088.80 "," 12,385.20 "," 27,791.00 "," 10,529.50 "," 14,349.80 ", - ," 21,618.30 "," 26,735.00 "," 27,791.00 ", 95.00 , 115.90 
12/1/2006,DoD,CHEM DEMIL-NEWPORT,1994,PdE, 424.90 , 494.70 ," 1,269.00 "," 1,111.60 "," 1,413.40 ", - ," 1,536.50 "," 1,908.10 "," 1,269.00 ", 261.60 , 285.70 
12/1/2006,DoD,F-35 (JSF),2002,DE," 77,100.00 "," 233,000.00 "," 2,866.00 "," 32,301.60 "," 66,824.10 ", (408.00)," 209,401.60 "," 299,824.10 "," 2,458.00 ", 30.20 , 44.40 
12/1/2006,DoD,JTRS GMR,2002,DE," 14,437.20 "," 19,112.90 "," 108,388.00 ", (926.10)," 1,215.20 "," (3,963.00)"," 13,511.10 "," 20,328.10 "," 104,425.00 ", (3.80), 9.80 
12/1/2006,DoD,JTRS HMS (CLUSTER 5),2004,DE," 8,569.00 "," 10,717.00 "," 329,574.00 ", 153.60 ," 1,071.60 ", - ," 8,722.60 "," 11,788.60 "," 329,574.00 ", 1.80 , 10.00 
12/1/2006,DoD,JTRS WAVEFORM,2002,DE, 812.90 , 914.40 , - ," 1,021.60 "," 1,189.70 ", - ," 1,834.50 "," 2,104.10 ", - , 125.70 , 130.10 
12/1/2006,DoD,MIDS-LVT,2003,PdE," 1,824.80 "," 1,818.90 "," 2,964.00 ", 325.00 , 379.30 , 444.00 ," 2,149.80 "," 2,198.20 "," 3,408.00 ", 11.00 , 13.00 
12/1/2006,DoD,DoD Subtotal,,," 260,955.10 "," 328,090.60 ",," 92,952.00 "," 148,034.00 ",," 353,907.10 "," 476,124.60 ",, 44.70 , 38.60 
12/1/2006,Total,Grand Total,,," 1,070,824.20 "," 1,279,514.00 ",," 261,138.50 "," 404,459.80 ",," 1,331,962.70 "," 1,683,973.80 ",, 24.30 , 24.40 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
