SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2006,ARMY,ARH,2005,DE ," 3,149.10 "," 3,568.70 ", 368.00 ," 1,411.10 "," 1,821.50 ", 144.00 ," 4,560.20 "," 5,390.20 ", 512.00 , 18.20 , 20.60 
12/1/2006,ARMY,ATIRCM/CMWS,2003,PdE ," 2,795.70 "," 3,240.60 "," 2,668.00 "," 1,886.80 "," 2,426.30 ", 921.00 ," 4,682.50 "," 5,666.90 "," 3,589.00 ", 14.30 , 12.40 
12/1/2006,ARMY,BLACK HAWK UPGRADE,2005,PdE ," 16,801.70 "," 20,847.10 "," 1,235.00 "," 1,527.40 "," 2,982.90 ", - ," 18,329.10 "," 23,830.00 "," 1,235.00 ", 9.10 , 14.30 
12/1/2006,ARMY,BRADLEY UPGRADE,2001,PdE ," 3,724.20 "," 3,859.80 ", 926.00 ," 4,484.50 "," 5,425.80 "," 1,358.00 "," 8,208.70 "," 9,285.60 "," 2,284.00 ", 9.10 , 7.70 
12/1/2006,ARMY,CH-47F,2005,PdE ," 10,614.80 "," 12,147.40 ", 512.00 , 911.10 ," 1,301.40 ", - ," 11,525.90 "," 13,448.80 ", 512.00 , 8.60 , 10.70 
12/1/2006,ARMY,EXCALIBUR,2003,DE ," 3,997.70 "," 4,798.70 "," 76,677.00 "," (2,119.50)"," (2,495.90)"," (46,424.00)"," 1,878.20 "," 2,302.80 "," 30,253.00 ", 5.10 , 23.70 
12/1/2006,ARMY,FBCB2,2005,PdE ," 1,579.90 "," 1,556.70 "," 22,248.00 "," 1,016.40 "," 1,129.40 "," 22,320.00 "," 2,596.30 "," 2,686.10 "," 44,568.00 ", 25.30 , 28.20 
12/1/2006,ARMY,FCS,2003,DE ," 77,800.00 "," 92,200.00 ", 15.00 ," 35,432.80 "," 69,730.10 ", - ," 113,232.80 "," 161,930.10 ", 15.00 , 45.50 , 75.60 
12/1/2006,ARMY,FMTV,1996,PdE ," 11,594.20 "," 18,921.30 "," 85,488.00 "," 4,420.90 "," 1,880.70 "," (2,303.00)"," 16,015.10 "," 20,802.00 "," 83,185.00 ", 39.30 , 13.50 
12/1/2006,ARMY,GMLRS,2003,PdE ," 9,780.20 "," 11,848.90 "," 140,239.00 "," (4,593.30)"," (5,076.40)"," (96,444.00)"," 5,186.90 "," 6,772.50 "," 43,795.00 ", 34.70 , 131.40 
