SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2007,ARMY,APACHE BLOCK III (AB3),2006,DE," 6,553.00 "," 8,093.90 ", 602.00 , 605.40 , 902.50 , 37.00 ," 7,158.40 "," 8,996.40 ", 639.00 , 4.90 , 6.00 
12/1/2007,ARMY,ARH,2005,DE," 3,149.10 "," 3,568.70 ", 368.00 ," 2,110.60 "," 2,768.00 ", 144.00 ," 5,259.70 "," 6,336.70 ", 512.00 , 36.30 , 41.80 
12/1/2007,ARMY,ATIRCM/CMWS,2003,PdE," 2,795.70 "," 3,240.60 "," 2,668.00 "," 1,374.10 "," 1,575.30 ", 921.00 ," 4,169.80 "," 4,815.90 "," 3,589.00 ", 1.80 , (4.50)
12/1/2007,ARMY,BLACK HAWK UPGRADE (UH-60M),2005,PdE," 16,801.70 "," 20,847.10 "," 1,235.00 "," 2,133.50 "," 3,195.60 ", - ," 18,935.20 "," 24,042.70 "," 1,235.00 ", 12.70 , 15.30 
12/1/2007,ARMY,BRADLEY UPGRADE,2001,PdE," 3,724.20 "," 3,859.80 ", 926.00 ," 4,845.60 "," 5,835.40 "," 1,642.00 "," 8,569.80 "," 9,695.20 "," 2,568.00 ", 5.20 , 2.50 
12/1/2007,ARMY,CH-47F,2005,PdE," 10,614.80 "," 12,147.40 ", 512.00 , 900.80 ," 1,202.90 ", 1.00 ," 11,515.60 "," 13,350.30 ", 513.00 , 8.30 , 9.70 
12/1/2007,ARMY,EXCALIBUR,2007,PdE," 2,264.60 "," 2,518.70 "," 30,388.00 ", (32.10), (53.60), - ," 2,232.50 "," 2,465.10 "," 30,388.00 ", (1.40), (2.10)
12/1/2007,ARMY,FBCB2,2005,PdE," 1,579.90 "," 1,556.70 "," 22,248.00 "," 1,640.90 "," 1,814.40 "," 51,215.00 "," 3,220.80 "," 3,371.10 "," 73,463.00 ", 20.20 , 21.40 
12/1/2007,ARMY,FCS,2003,DE," 77,800.00 "," 92,200.00 ", 15.00 ," 34,624.50 "," 67,120.20 ", - ," 112,424.50 "," 159,320.20 ", 15.00 , 44.50 , 72.80 
12/1/2007,ARMY,FMTV,1996,PdE," 11,594.20 "," 18,921.30 "," 85,488.00 "," 4,922.40 "," 1,755.10 "," (2,303.00)"," 16,516.60 "," 20,676.40 "," 83,185.00 ", 43.70 , 12.80 
12/1/2007,ARMY,GMLRS,2003,PdE," 9,780.20 "," 11,848.90 "," 140,239.00 "," (5,062.50)"," (5,840.60)"," (96,444.00)"," 4,717.70 "," 6,008.30 "," 43,795.00 ", 22.50 , 105.30 
12/1/2007,ARMY,HIMARS,2003,PdE," 3,711.60 "," 4,388.40 ", 894.00 ," (1,914.40)"," (2,339.40)", (513.00)," 1,797.20 "," 2,049.00 ", 381.00 , (11.10), (0.30)
12/1/2007,ARMY,JAVELIN,1997,PdE," 3,791.10 "," 3,926.00 "," 28,453.00 ", 903.20 , 998.00 ," (2,990.00)"," 4,694.30 "," 4,924.00 "," 25,463.00 ", 10.20 , 10.60 
12/1/2007,ARMY,JLENS,2005,DE," 5,850.00 "," 7,151.00 ", 16.00 , 238.60 , 349.30 , - ," 6,088.60 "," 7,500.30 ", 16.00 , 4.10 , 4.90 
12/1/2007,ARMY,LONGBOW APACHE,1996,PdE," 5,690.60 "," 7,027.80 ", 758.00 ," 4,135.40 "," 4,155.20 ", (87.00)," 9,826.00 "," 11,183.00 ", 671.00 , 67.40 , 55.30 
12/1/2007,ARMY,LUH,2006,PdE," 1,638.30 "," 1,883.00 ", 322.00 , 181.50 , 207.20 , 23.00 ," 1,819.80 "," 2,090.20 ", 345.00 , 4.10 , 3.40 
12/1/2007,ARMY,PATRIOT PAC-3,2002,PdE," 9,084.00 "," 9,205.80 "," 1,159.00 ", (697.30), (680.90), (190.00)," 8,386.70 "," 8,524.90 ", 969.00 , (2.70), (1.40)
12/1/2007,ARMY,PATRIOT/MEADS CAP - FIRE UNIT,2004,DE," 16,530.50 "," 21,839.40 ", 48.00 , (722.30), (59.70), - ," 15,808.20 "," 21,779.70 ", 48.00 , (4.40), (0.30)
12/1/2007,ARMY,PATRIOT/MEADS CAP - MISSILE,2004,DE," 6,220.90 "," 8,056.00 "," 1,528.00 ", (193.60), 59.50 , - ," 6,027.30 "," 8,115.50 "," 1,528.00 ", (3.10), 0.70 
12/1/2007,ARMY,STRYKER,2004,PdE," 8,276.90 "," 8,534.70 "," 2,096.00 "," 5,977.60 "," 7,156.40 "," 1,441.00 "," 14,254.50 "," 15,691.10 "," 3,537.00 ", 18.50 , 21.50 
12/1/2007,ARMY,WIN-T INCREMENT 1,2007,PdE," 3,798.00 "," 3,879.70 "," 1,677.00 ", - , (20.00), - ," 3,798.00 "," 3,859.70 "," 1,677.00 ", -   , (0.50)
12/1/2007,ARMY,WIN-T INCREMENT 2,2007,DE," 3,445.80 "," 3,907.00 "," 1,893.00 ", - , (36.20), - ," 3,445.80 "," 3,870.80 "," 1,893.00 ", -   , (0.90)
12/1/2007,ARMY,Army Subtotal,,," 214,695.10 "," 258,601.90 ",," 55,971.90 "," 90,064.60 ",," 270,667.00 "," 348,666.50 ",, 23.70 , 33.40 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2007,NAVY,ADS (AN/WQR-3),2005,DE," 1,337.00 "," 1,431.70 ", 15.00 , (784.90), (902.90), (15.00), 552.10 , 528.80 , - , (36.70), (38.90)
12/1/2007,NAVY,AGM-88E AARGM,2003,DE," 1,339.80 "," 1,510.90 "," 1,790.00 ", 86.00 , 199.20 , 121.00 ," 1,425.80 "," 1,710.10 "," 1,911.00 ", 3.20 , 9.10 
12/1/2007,NAVY,AIM-9X,1997,PdE," 2,464.00 "," 3,232.90 "," 10,049.00 ", 200.10 , 162.60 , 93.00 ," 2,664.10 "," 3,395.50 "," 10,142.00 ", 7.60 , 4.40 
12/1/2007,NAVY,CEC,2002,PdE," 4,123.30 "," 4,310.70 ", 272.00 , 83.70 , 219.80 , 34.00 ," 4,207.00 "," 4,530.50 ", 306.00 , 1.50 , 4.60 
12/1/2007,NAVY,CH-53K,2006,DE," 14,980.90 "," 18,766.30 ", 156.00 , 44.00 , (58.00), - ," 15,024.90 "," 18,708.30 ", 156.00 , 0.30 , (0.30)
12/1/2007,NAVY,COBRA JUDY REPLACEMENT,2003,DE," 1,365.00 "," 1,464.00 ", 1.00 , 88.30 , 165.50 , - ," 1,453.30 "," 1,629.50 ", 1.00 , 6.50 , 11.30 
12/1/2007,NAVY,CVN 21,2000,DE," 28,701.20 "," 36,082.10 ", 3.00 ," (3,714.10)", (963.00), - ," 24,987.10 "," 35,119.10 ", 3.00 , (12.90), (2.70)
12/1/2007,NAVY,CVN 68,1995,PdE," 4,557.10 "," 5,540.80 ", 1.00 , 721.70 , 718.00 , - ," 5,278.80 "," 6,258.80 ", 1.00 , 15.80 , 13.00 
12/1/2007,NAVY,DDG 1000,2005,DE," 31,547.90 "," 36,296.30 ", 10.00 ," (6,457.50)"," (7,409.60)", (3.00)," 25,090.40 "," 28,886.70 ", 7.00 , (0.50), 3.90 
12/1/2007,NAVY,DDG 51,1987,PdE," 16,953.70 "," 20,117.50 ", 23.00 ," 29,464.40 "," 42,638.80 ", 39.00 ," 46,418.10 "," 62,756.30 ", 62.00 , 11.50 , 10.00 
12/1/2007,NAVY,E-2D AHE,2002,DE," 12,225.00 "," 14,982.00 ", 75.00 ," 1,168.90 "," 2,449.10 ", - ," 13,393.90 "," 17,431.10 ", 75.00 , 9.60 , 16.30 
12/1/2007,NAVY,EA-18G,2004,PdE," 7,530.80 "," 8,636.40 ", 84.00 , 47.50 , 12.70 , 1.00 ," 7,578.30 "," 8,649.10 ", 85.00 , (0.20), (0.70)
12/1/2007,NAVY,EFV,2007,DE," 8,493.20 "," 8,725.20 "," 1,025.00 "," 4,671.10 "," 7,135.00 ", (432.00)," 13,164.30 "," 15,860.20 ", 593.00 , 114.80 , 174.60 
12/1/2007,NAVY,ERM,2005,DE," 1,242.70 "," 1,478.00 "," 15,100.00 ", 44.80 , 43.40 , - ," 1,287.50 "," 1,521.40 "," 15,100.00 ", 3.60 , 2.90 
12/1/2007,NAVY,F/A-18E/F,2000,PdE," 38,884.70 "," 41,637.30 ", 458.00 ," 4,372.90 "," 4,707.50 ", 35.00 ," 43,257.60 "," 46,344.80 ", 493.00 , 7.10 , 6.50 
12/1/2007,NAVY,H-1 UPGRADES (4BW/4BN),1996,DE," 2,792.50 "," 3,547.50 ", 284.00 ," 3,957.80 "," 5,180.00 ", - ," 6,750.30 "," 8,727.50 ", 284.00 , 141.70 , 146.00 
12/1/2007,NAVY,JSOW - BASELINE/BLU-108,1990,PdE," 3,566.30 "," 4,898.70 "," 16,124.00 "," (2,090.40)"," (3,037.10)"," (12,790.00)"," 1,475.90 "," 1,861.60 "," 3,334.00 ", (2.10), 9.90 
12/1/2007,NAVY,JSOW - UNITARY,1990,PdE," 1,977.80 "," 2,974.80 "," 7,000.00 ", (200.70), (249.70), - ," 1,777.10 "," 2,725.10 "," 7,000.00 ", (10.10), (8.40)
12/1/2007,NAVY,LCS,2004,PE," 1,172.70 "," 1,211.70 ", 2.00 ," 1,422.50 "," 1,636.90 ", - ," 2,595.20 "," 2,848.60 ", 2.00 , 121.30 , 135.10 
12/1/2007,NAVY,LHA REPLACEMENT,2006,DE," 2,877.40 "," 3,093.50 ", 1.00 , 201.50 , 274.40 , - ," 3,078.90 "," 3,367.90 ", 1.00 , 7.00 , 8.90 
