SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2005,ARMY,ACS,2003,DE," 3,857.00 "," 4,546.00 ", 38.00 ," (2,791.00)"," (3,318.10)", (38.00)," 1,066.00 "," 1,227.90 ", - , (14.90), 1.20 
12/1/2005,ARMY,ARH,2005,DE," 3,149.10 "," 3,568.70 ", 368.00 , 10.40 , 34.10 , - ," 3,159.50 "," 3,602.80 ", 368.00 , 0.30 , 1.00 
12/1/2005,ARMY,ATIRCM/CMWS,2003,PdE," 2,795.70 "," 3,240.60 "," 2,668.00 "," 1,798.90 "," 2,353.80 ", 921.00 ," 4,594.60 "," 5,594.40 "," 3,589.00 ", 12.20 , 11.00 
12/1/2005,ARMY,BLACK HAWK UPGRADE,2005,PdE," 16,801.70 "," 20,847.10 "," 1,235.00 "," 1,616.20 "," 2,922.50 ", - ," 18,417.90 "," 23,769.60 "," 1,235.00 ", 9.60 , 14.00 
12/1/2005,ARMY,BRADLEY UPGRADE,2001,PdE," 3,724.20 "," 3,859.80 ", 926.00 ," 4,049.40 "," 5,128.70 "," 1,237.00 "," 7,773.60 "," 8,988.50 "," 2,163.00 ", 6.90 , 8.20 
12/1/2005,ARMY,CH-47F,2005,PdE," 10,614.80 "," 12,147.40 ", 512.00 , 337.50 , 650.30 , - ," 10,952.30 "," 12,797.70 ", 512.00 , 3.20 , 5.40 
12/1/2005,ARMY,EXCALIBUR,2003,DE," 3,997.70 "," 4,798.70 "," 76,677.00 "," (2,118.90)"," (2,506.00)"," (46,383.00)"," 1,878.80 "," 2,292.70 "," 30,294.00 ", 5.10 , 23.10 
12/1/2005,ARMY,FBCB2,2005,PdE," 1,579.90 "," 1,556.70 "," 22,248.00 ", 817.60 , 890.10 ," 21,858.00 "," 2,397.50 "," 2,446.80 "," 44,106.00 ", 16.20 , 17.50 
12/1/2005,ARMY,FCS,2003,DE," 77,800.00 "," 92,200.00 ", 15.00 ," 42,066.10 "," 72,428.30 ", - ," 119,866.10 "," 164,628.30 ", 15.00 , 54.10 , 78.60 
12/1/2005,ARMY,FMTV,1996,PdE," 11,594.20 "," 18,921.30 "," 85,488.00 "," 1,983.10 "," (1,471.20)"," (2,303.00)"," 13,577.30 "," 17,450.10 "," 83,185.00 ", 18.10 , (4.80)
