SourceFiscalYearName,SourceFiscalYear,SARSname,Shorthand
2009-NAVSTAR GPS - USER EQUIPMENT,2009,NAVSTAR GPS - USER EQUIPMENT,NAVSTAR GPS SPLIT
2010-NAVSTAR GPS - SPACE & CONTROL,2010,NAVSTAR GPS - SPACE & CONTROL,NAVSTAR GPS SPLIT
2010-NAVSTAR GPS - USER EQUIPMENT,2010,NAVSTAR GPS - USER EQUIPMENT,NAVSTAR GPS SPLIT
2011-NAVSTAR GPS - SPACE & CONTROL,2011,NAVSTAR GPS - SPACE & CONTROL,NAVSTAR GPS SPLIT
2011-NAVSTAR GPS - USER EQUIPMENT,2011,NAVSTAR GPS - USER EQUIPMENT,NAVSTAR GPS SPLIT
2000-Navy Subtotal,2000,Navy Subtotal,Navy Subtotal
2001-Navy Subtotal,2001,Navy Subtotal,Navy Subtotal
2002-Navy Subtotal,2002,Navy Subtotal,Navy Subtotal
2003-Navy Subtotal,2003,Navy Subtotal,Navy Subtotal
2004-Navy Subtotal,2004,Navy Subtotal,Navy Subtotal
2005-Navy Subtotal,2005,Navy Subtotal,Navy Subtotal
2006-Navy Subtotal,2006,Navy Subtotal,Navy Subtotal
2007-Navy Subtotal,2007,Navy Subtotal,Navy Subtotal
2008-Navy Subtotal,2008,Navy Subtotal,Navy Subtotal
2009-Navy Subtotal,2009,Navy Subtotal,Navy Subtotal
2010-Navy Subtotal,2010,Navy Subtotal,Navy Subtotal
2011-Navy Subtotal,2011,Navy Subtotal,Navy Subtotal
2012-Navy Subtotal,2012,Navy Subtotal,Navy Subtotal
2013-Navy Subtotal,2013,Navy Subtotal,Navy Subtotal
2001-NESP,2001,NESP,NESP
2002-NESP,2002,NESP,NESP
2003-NESP,2003,NESP,NESP
2004-NESP,2004,NESP,NESP
2007-NMT,2007,NMT,NMT
2008-NMT,2008,NMT,NMT
2009-NMT,2009,NMT,NMT
2010-NMT,2010,NMT,NMT
2011-NMT,2011,NMT,NMT
2001-NPOESS (RDT&E),2001,NPOESS (RDT&E),NPOESS
2002-NPOESS,2002,NPOESS,NPOESS
2003-NPOESS,2003,NPOESS,NPOESS
2004-NPOESS,2004,NPOESS,NPOESS
2005-NPOESS,2005,NPOESS,NPOESS
2006-NPOESS,2006,NPOESS,NPOESS
2007-NPOESS,2007,NPOESS,NPOESS
2008-NPOESS,2008,NPOESS,NPOESS
2009-NPOESS,2009,NPOESS,NPOESS
2010-NPOESS,2010,NPOESS,NPOESS
2011-NPOESS,2011,NPOESS,NPOESS
2004-MMA,2004,MMA,P-8A
2005-MMA,2005,MMA,P-8A
2006-P-8A (MMA),2006,P-8A (MMA),P-8A
2007-P-8A (MMA),2007,P-8A (MMA),P-8A
2008-P-8A (MMA),2008,P-8A (MMA),P-8A
2009-P-8A,2009,P-8A,P-8A
2010-P-8A,2010,P-8A,P-8A
2011-P-8A,2011,P-8A,P-8A
2001-PATRIOT PAC-3,2001,PATRIOT PAC-3,PATRIOT PAC-3
2002-PATRIOT PAC-3,2002,PATRIOT PAC-3,PATRIOT PAC-3
2003-PATRIOT PAC-3,2003,PATRIOT PAC-3,PATRIOT PAC-3
2004-PATRIOT PAC-3,2004,PATRIOT PAC-3,PATRIOT PAC-3
2005-PATRIOT PAC-3,2005,PATRIOT PAC-3,PATRIOT PAC-3
2006-PATRIOT PAC-3,2006,PATRIOT PAC-3,PATRIOT PAC-3
2007-PATRIOT PAC-3,2007,PATRIOT PAC-3,PATRIOT PAC-3
2008-PATRIOT PAC-3,2008,PATRIOT PAC-3,PATRIOT PAC-3
2009-PATRIOT PAC-3,2009,PATRIOT PAC-3,PATRIOT PAC-3
2010-PATRIOT PAC-3,2010,PATRIOT PAC-3,PATRIOT PAC-3
2011-PATRIOT PAC-3,2011,PATRIOT PAC-3,PATRIOT PAC-3
2004-PAT/MEADS CAP,2004,PAT/MEADS CAP,PATRIOT/MEADS CAP
2005-PAT/MEADS CAP,2005,PAT/MEADS CAP,PATRIOT/MEADS CAP
2006-PATRIOT/MEADS CAP,2006,PATRIOT/MEADS CAP,PATRIOT/MEADS CAP
2009-PATRIOT/MEADS CAP,2009,PATRIOT/MEADS CAP,PATRIOT/MEADS CAP
2007-PATRIOT/MEADS CAP - FIRE UNIT,2007,PATRIOT/MEADS CAP - FIRE UNIT,PATRIOT/MEADS CAP SPLIT
2007-PATRIOT/MEADS CAP - MISSILE,2007,PATRIOT/MEADS CAP - MISSILE,PATRIOT/MEADS CAP SPLIT
2008-PATRIOT/MEADS CAP - FIRE UNIT,2008,PATRIOT/MEADS CAP - FIRE UNIT,PATRIOT/MEADS CAP SPLIT
2008-PATRIOT/MEADS CAP - MISSILE,2008,PATRIOT/MEADS CAP - MISSILE,PATRIOT/MEADS CAP SPLIT
2009-PATRIOT MEADS CAP: FIRE UNIT,2009,PATRIOT MEADS CAP: FIRE UNIT,PATRIOT/MEADS CAP SPLIT
2009-PATRIOT MEADS CAP: MISSILE,2009,PATRIOT MEADS CAP: MISSILE,PATRIOT/MEADS CAP SPLIT
2010-PATRIOT/MEADS CAP,2010,PATRIOT MEADS CAP,PATRIOT/MEADS CAP
2010-PATRIOT/MEADS CAP - FIRE UNIT,2010,PATRIOT/MEADS CAP - FIRE UNIT,PATRIOT/MEADS CAP SPLIT
2010-PATRIOT/MEADS CAP - MISSILE,2010,PATRIOT/MEADS CAP - MISSILE,PATRIOT/MEADS CAP SPLIT
2011-PATRIOT/MEADS CAP - FIRE UNIT,2011,PATRIOT/MEADS CAP - FIRE UNIT,PATRIOT/MEADS CAP SPLIT
2011-PATRIOT/MEADS CAP - MISSILE,2011,PATRIOT/MEADS CAP - MISSILE,PATRIOT/MEADS CAP SPLIT
2007-RMS,2007,RMS,RMS
2008-RMS,2008,RMS,RMS
2009-RMS,2009,RMS,RMS
2010-RMS,2010,RMS,RMS
2011-RMS,2011,RMS,RMS
2001-GLOBAL HAWK,2001,GLOBAL HAWK,RQ-4 GLOBAL HAWK
2002-GLOBAL HAWK,2002,GLOBAL HAWK,RQ-4 GLOBAL HAWK
2003-GLOBAL HAWK,2003,GLOBAL HAWK,RQ-4 GLOBAL HAWK
2004-GLOBAL HAWK,2004,GLOBAL HAWK,RQ-4 GLOBAL HAWK
2005-GLOBAL HAWK,2005,GLOBAL HAWK,RQ-4 GLOBAL HAWK
2006-GLOBAL HAWK,2006,GLOBAL HAWK,RQ-4 GLOBAL HAWK
2007-GLOBAL HAWK (RQ-4A/B),2007,GLOBAL HAWK (RQ-4A/B),RQ-4 GLOBAL HAWK
2008-GLOBAL HAWK (RQ-4A/B),2008,GLOBAL HAWK (RQ-4A/B),RQ-4 GLOBAL HAWK
2009-GLOBAL HAWK (RQ-4A/B),2009,GLOBAL HAWK (RQ-4A/B),RQ-4 GLOBAL HAWK
2010-RQ-4A/B UAS GLOBAL HAWK,2010,RQ-4A/B UAS GLOBAL HAWK,RQ-4 GLOBAL HAWK
2011-RQ-4A/B UAS GLOBAL HAWK,2011,RQ-4A/B UAS GLOBAL HAWK,RQ-4 GLOBAL HAWK
2001-SADARM,2001,SADARM,SADARM
2001-SBIRS (High),2001,SBIRS (High),SBIRS
2002-SBIRS HIGH,2002,SBIRS HIGH,SBIRS
2003-SBIRS HIGH,2003,SBIRS HIGH,SBIRS
2004-SBIRS HIGH,2004,SBIRS HIGH,SBIRS
2005-SBIRS HIGH,2005,SBIRS HIGH,SBIRS
2006-SBIRS HIGH,2006,SBIRS HIGH,SBIRS
2007-SBIRS HIGH,2007,SBIRS HIGH,SBIRS
2008-SBIRS HIGH,2008,SBIRS HIGH,SBIRS
2009-SBIRS HIGH,2009,SBIRS HIGH,SBIRS
2010-SBIRS HIGH,2010,SBIRS HIGH,SBIRS
2011-SBIRS HIGH,2011,SBIRS HIGH,SBIRS
2008-SBSS B10,2008,SBSS B10,SBSS B10
2009-SBSS BLOCK 10,2009,SBSS BLOCK 10,SBSS B10
2010-SBSS BLOCK 10,2010,SBSS BLOCK 10,SBSS B10
2004-SDB,2004,SDB,SDB I
2005-SDB,2005,SDB,SDB I
2006-SDB,2006,SDB,SDB I
2007-SDB I,2007,SDB I,SDB I
2008-SDB I,2008,SDB I,SDB I
2010-SDB II,2010,SDB II,SDB II
2011-SDB II,2011,SDB II,SDB II
2001-STD MSL 2,2001,STD MSL 2,SM-2
2002-SM 2,2002,SM 2,SM-2
2003-SM 2,2003,SM 2,SM-2
2004-SM-2,2004,SM-2,SM-2
2004-SM-6,2004,SM-6,SM-6
2005-SM-6,2005,SM-6,SM-6
2006-SM-6,2006,SM-6,SM-6
2007-SM-6,2007,SM-6,SM-6
2008-SM-6,2008,SM-6,SM-6
2009-SM-6,2009,SM-6,SM-6
2010-SM-6,2010,SM-6,SM-6
2011-SM-6,2011,SM-6,SM-6
2001-SMART-T,2001,SMART-T,SMART-T
2002-SMART-T,2002,SMART-T,SMART-T
2005-SSDS,2005,SSDS,SSDS
2006-SSDS,2006,SSDS,SSDS
2007-SSDS,2007,SSDS,SSDS
2003-SSGN,2003,SSGN,SSGN
2004-SSGN,2004,SSGN,SSGN
2005-SSGN,2005,SSGN,SSGN
2006-SSGN (OHIO CLASS),2006,SSGN (OHIO CLASS),SSGN
2007-SSGN,2007,SSGN,SSGN
2001-SSN 774 (VA CLASS),2001,SSN 774 (VA CLASS),SSN 774
2002-SSN 774 (VA CLASS),2002,SSN 774 (VA CLASS),SSN 774
2003-SSN 774 (VA CLASS),2003,SSN 774 (VA CLASS),SSN 774
2004-SSN 774 (VA CLASS),2004,SSN 774 (VA CLASS),SSN 774
2005-SSN 774 (VA CLASS),2005,SSN 774 (VA CLASS),SSN 774
2006-SSN 774 (VA CLASS),2006,SSN 774 (VA CLASS),SSN 774
2007-SSN 774 (VIRGINIA CLASS),2007,SSN 774 (VIRGINIA CLASS),SSN 774
2008-SSN 774 (VIRGINIA CLASS),2008,SSN 774 (VIRGINIA CLASS),SSN 774
2009-SSN 774,2009,SSN 774,SSN 774
2010-SSN 774,2010,SSN 774,SSN 774
2011-SSN 774,2011,SSN 774,SSN 774
2001-IAV,2001,IAV,STRYKER
2002-STRYKER (IAV),2002,STRYKER (IAV),STRYKER
2003-STRYKER,2003,STRYKER,STRYKER
2004-STRYKER,2004,STRYKER,STRYKER
2005-STRYKER,2005,STRYKER,STRYKER
2006-STRYKER,2006,STRYKER,STRYKER
2007-STRYKER,2007,STRYKER,STRYKER
2008-STRYKER,2008,STRYKER,STRYKER
2009-STRYKER,2009,STRYKER,STRYKER
2010-STRYKER,2010,STRYKER,STRYKER
2011-STRYKER,2011,STRYKER,STRYKER
2001-T-45TS,2001,T-45TS,T-45TS
2002-T-45TS,2002,T-45TS,T-45TS
2003-T-45TS,2003,T-45TS,T-45TS
2004-T-45TS,2004,T-45TS,T-45TS
2005-T-45TS,2005,T-45TS,T-45TS
2006-T-45TS,2006,T-45TS,T-45TS
2007-T-45TS,2007,T-45TS,T-45TS
2001-TACTICAL TOMAHAWK,2001,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2002-TACTICAL TOMAHAWK,2002,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2003-TACTICAL TOMAHAWK,2003,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2004-TACTICAL TOMAHAWK,2004,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2005-TACTICAL TOMAHAWK,2005,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2006-TACTICAL TOMAHAWK,2006,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2007-TACTICAL TOMAHAWK,2007,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2008-TACTICAL TOMAHAWK,2008,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2009-TACTICAL TOMAHAWK,2009,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2010-TACTICAL TOMAHAWK,2010,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2011-TACTICAL TOMAHAWK,2011,TACTICAL TOMAHAWK,TACTICAL TOMAHAWK
2001-T-AKE,2001,T-AKE,T-AKE
2002-T-AKE,2002,T-AKE,T-AKE
2003-T-AKE,2003,T-AKE,T-AKE
2004-T-AKE,2004,T-AKE,T-AKE
2005-T-AKE,2005,T-AKE,T-AKE
2006-T-AKE,2006,T-AKE,T-AKE
2007-T-AKE,2007,T-AKE,T-AKE
2008-T-AKE,2008,T-AKE,T-AKE
2009-T-AKE,2009,T-AKE,T-AKE
2010-T-AKE,2010,T-AKE,T-AKE
2001-TITAN IV,2001,TITAN IV,TITAN IV
2001-TRIDENT II MSL,2001,TRIDENT II MSL,TRIDENT II
2002-TRIDENT II MSL,2002,TRIDENT II MSL,TRIDENT II
2003-TRIDENT II MSL,2003,TRIDENT II MSL,TRIDENT II
2004-TRIDENT II MSL,2004,TRIDENT II MSL,TRIDENT II
2005-TRIDENT II MSL,2005,TRIDENT II MSL,TRIDENT II
2006-TRIDENT II MSL,2006,TRIDENT II MSL,TRIDENT II
2007-TRIDENT II MISSILE,2007,TRIDENT II MISSILE,TRIDENT II
2008-TRIDENT II MISSILE,2008,TRIDENT II MISSILE,TRIDENT II
2009-TRIDENT II MISSILE,2009,TRIDENT II MISSILE,TRIDENT II
2010-TRIDENT II MISSILE,2010,TRIDENT II MISSILE,TRIDENT II
2011-TRIDENT II MISSILE,2011,TRIDENT II MISSILE,TRIDENT II
2004-TSAT,2004,TSAT,TSAT
2005-TSAT,2005,TSAT,TSAT
2009-BLACKHAWK,2009,BLACKHAWK,UH-60M
2010-UH-60M BLACK HAWK,2010,UH-60M BLACK HAWK,UH-60M
2011-UH-60M BLACK HAWK,2011,UH-60M BLACK HAWK,UH-60M
2002-BLACK HAWK UPGRADE,2002,BLACK HAWK UPGRADE,UH-60M Black Hawk Upgrade
2003-BLACK HAWK UPGRADE,2003,BLACK HAWK UPGRADE,UH-60M Black Hawk Upgrade
2004-BLACK HAWK UPGRADE,2004,BLACK HAWK UPGRADE,UH-60M Black Hawk Upgrade
2005-BLACK HAWK UPGRADE,2005,BLACK HAWK UPGRADE,UH-60M Black Hawk Upgrade
2006-BLACK HAWK UPGRADE,2006,BLACK HAWK UPGRADE,UH-60M Black Hawk Upgrade
2007-BLACK HAWK UPGRADE (UH-60M),2007,BLACK HAWK UPGRADE (UH-60M),UH-60M Black Hawk Upgrade
2008-BLACK HAWK UPGRADE (UH-60M),2008,BLACK HAWK UPGRADE (UH-60M),UH-60M Black Hawk Upgrade
2009-BLACK HAWK UPGRADE (UH-60M),2009,BLACK HAWK UPGRADE (UH-60M),UH-60M Black Hawk Upgrade
2010-BLACK HAWK UPGRADE (UH-60M),2010,BLACK HAWK UPGRADE (UH-60M),UH-60M Black Hawk Upgrade
2001-V-22,2001,V-22,V-22
2002-V-22,2002,V-22,V-22
2003-V-22,2003,V-22,V-22
2004-V-22,2004,V-22,V-22
2005-V-22,2005,V-22,V-22
2006-V-22,2006,V-22,V-22
2007-V-22,2007,V-22,V-22
2008-V-22,2008,V-22,V-22
2009-V-22,2009,V-22,V-22
2010-V-22,2010,V-22,V-22
2011-V-22,2011,V-22,V-22
2006-VH-71,2006,VH-71,VH-71
2007-VH-71,2007,VH-71,VH-71
2008-VH-71,2008,VH-71,VH-71
2007-VTUAV,2007,VTUAV,VTUAV
2008-VTUAV,2008,VTUAV,VTUAV
2009-VTUAV,2009,VTUAV,VTUAV
2010-VTUAV,2010,VTUAV,VTUAV
2011-VTUAV,2011,VTUAV,VTUAV
2001-WIDEBAND GAP FILLER,2001,WIDEBAND GAP FILLER,WGS
2002-WIDEBAND GAPFILLER,2002,WIDEBAND GAPFILLER,WGS
2003-WIDEBAND GAPFILLER,2003,WIDEBAND GAPFILLER,WGS
2004-WIDEBAND GAPFILLER,2004,WIDEBAND GAPFILLER,WGS
2005-WIDEBAND GAPFILLER,2005,WIDEBAND GAPFILLER,WGS
2006-WIDEBAND GAPFILLER,2006,WIDEBAND GAPFILLER,WGS
2007-WGS,2007,WGS,WGS
2008-WGS,2008,WGS,WGS
2009-WGS,2009,WGS,WGS
2010-WGS,2010,WGS,WGS
2011-WGS,2011,WGS,WGS
2003-WIN-T,2003,WIN-T,WIN-T Increment 1
2004-WIN-T,2004,WIN-T,WIN-T Increment 1
2005-WIN-T,2005,WIN-T,WIN-T Increment 1
2006-WIN-T,2006,WIN-T,WIN-T Increment 1
2007-WIN-T INCREMENT 1,2007,WIN-T INCREMENT 1,WIN-T Increment 1
2008-WIN-T INCREMENT 1,2008,WIN-T INCREMENT 1,WIN-T Increment 1
2009-WIN-T INC 1,2009,WIN-T INC 1,WIN-T Increment 1
2009-WIN-T INCREMENT 1,2009,WIN-T INCREMENT 1,WIN-T Increment 1
2010-WIN-T INCREMENT 1,2010,WIN-T INCREMENT 1,WIN-T Increment 1
2011-WIN-T INCREMENT 1,2011,WIN-T INCREMENT 1,WIN-T Increment 1
2007-WIN-T INCREMENT 2,2007,WIN-T INCREMENT 2,WIN-T Increment 2
2008-WIN-T INCREMENT 2,2008,WIN-T INCREMENT 2,WIN-T Increment 2
2009-WIN-T INC 2,2009,WIN-T INC 2,WIN-T Increment 2
2009-WIN-T INCREMENT 2,2009,WIN-T INCREMENT 2,WIN-T Increment 2
2010-WIN-T INCREMENT 2,2010,WIN-T INCREMENT 2,WIN-T Increment 2
2011-WIN-T INCREMENT 2,2011,WIN-T INCREMENT 2,WIN-T Increment 2
2010-WIN-T INCREMENT 3,2010,WIN-T INCREMENT 3,WIN-T Increment 3
2011-WIN-T INCREMENT 3,2011,WIN-T INCREMENT 3,WIN-T Increment 3
